JÓVENES DE 16 A 29 AÑOS EN LA EPA;3º trim 2021;Variación sobre 2º trim 2021 (Dif);Variación sobre 2º trim 2021 (%);Variación sobre 2º trim 2021  (Dato);Variación sobre 3º trim 2020 (Dif);Variación sobre 3º trim 2020  (%);Variación sobre 3º trim 2020 (Dato)
Total Población Joven;6.826,50;2,2;0,03;6.824,40;19;0,28;6.807,50
Tasa de jóvenes (%) s/Tot16y+años;17,22;0;--;17,22;0,02;--;17,19
Jóvenes Emancipados/as *;1.086,30;-56,7;-4,96;1.143,00;-81,7;-6,99;1.168,00
- Varones emancipados;457,6;-30,1;-6,17;487,7;-8,6;-1,83;466,2
- Mujeres emancipadas;628,7;-26,6;-4,06;655,3;-73,1;-10,42;701,8
Tasa de Emancipación  (%);15,91;-0,84;--;16,75;-1,24;--;17,16
- Tasa de emancipación varones (%);13,12;-0,88;--;14,01;-0,3;--;13,42
- Tasa de emancipación mujeres (%);18,83;-0,78;--;19,61;-2,22;--;21,05
Jóvenes Activos/as;3.812,10;133,9;3,64;3.678,20;195,1;5,39;3.617,00
Tasa de Actividad (%);55,84;1,94;--;53,9;2,71;--;53,13
- Tasa de actividad varones (%);57,19;2,01;--;55,18;2,62;--;54,58
- Tasa de inactividad mujeres (%);54,43;1,87;--;52,56;2,8;--;51,63
Jóvenes Inactivos/as;3.014,40;-131,7;-4,19;3.146,10;-176;-5,52;3.190,50
Tasa de Inactividad (%);44,16;-1,94;--;46,1;-2,71;--;46,87
- Tasa de inactividad varones (%);42,81;-2,01;--;44,82;-2,62;--;45,42
- Tasa de inactividad mujeres (%);45,57;-1,87;--;47,44;-2,8;--;48,37
Jóvenes Ocupados/as;2.842,10;223,9;8,55;2.618,20;362,1;14,6;2.480,00
Tasa de Empleo (%);41,63;3,27;--;38,37;5,2;--;36,43
- Tasa de empleo varones (%);42,46;2,83;--;39,62;4,49;--;37,96
- Tasa de empleo mujeres (%);40,77;3,72;--;37,05;5,94;--;34,84
Jóvenes por cuenta propia;185,4;-6,5;-3,37;191,9;14;8,19;171,4
Jóvenes asalariados/as;2.651,90;228;9,4;2.423,90;344,1;14,91;2.307,80
- Con contrato indefinido;1.113,00;15,9;1,45;1.097,10;33,4;3,1;1.079,60
- Con contrato temporal;1.538,90;212,1;15,99;1.326,80;310,6;25,29;1.228,30
Tasa de temporalidad (%);58,03;3,29;--;54,74;4,81;--;53,22
- Tasa de temporalidad varones (%);54,97;3,89;--;51,08;3,97;--;51
- Tasa de temporalidad mujeres (%);61,27;2,56;--;58,71;5,6;--;55,66
Jóvenes Parados/as;106,6;-8,6;-7,48;115,2;13,7;14,76;92,8
Jóvenes que buscan primer empleo;303,1;2,6;0,88;300,5;-18,3;-5,69;321,4
Tasa de Paro (%);123,9;5,8;4,89;118,2;25,6;26,05;98,3
- Tasa de paro varones (%);2.308,50;224,1;10,75;2.084,40;341,1;17,33;1.967,40
- Tasa de paro mujeres (%);721,3;-6,3;-0,87;727,6;112,7;18,53;608,6
Parados/as de 16 y más años;297,2;34,8;13,28;262,4;48,8;19,62;248,5
Tasa de paro de 16 y más años (%);970;-90;-8,49;1.060,00;-167;-14,69;1.137,00
- Tasa paro 16y+años varones (%);25,44;-3,37;--;28,82;-5,99;--;31,43
- Tasa prao 16y+años mujeres (%);25,77;-2,43;--;28,2;-4,68;--;30,44
- Tasa de paro mujeres (%);25,09;-4,41;--;29,5;-7,44;--;32,53
Jóvenes que buscan 1er empleo;290,6;-18,2;-5,91;308,8;10,6;3,79;280
Jóvenes buscando empleo 1 o + años;325,3;-45,8;-12,35;371,1;58,8;22,07;266,4
Jóvenes parados/as en Sector Agricultura;50,6;8,1;19,16;42,5;3,5;7,39;47,1
- En la Industria;38,8;-15,3;-28,33;54,2;-14,5;-27,18;53,3
- En la Construcción;33,8;6,9;25,43;27;10,3;43,76;23,5
- En los Servicios;341,8;22,5;7,05;319,3;-210,7;-38,14;552,4
