JÓVENES DE 16 A 29 AÑOS EN LA EPA;3º trim 2014;Variación sobre 2º trim 2014 (Dif);Variación sobre 2º trim 2014 (%);Variación sobre 2º trim 2014 (Dato);Variación sobre 3º trim 2013 (Dif);Variación sobre 3º trim 2013 (%);Variación sobre 3º trim 2013 (Dato)
Total Población Joven;6.692.000;-38.900;-0,58;6.730.900;-185.300;-2,69;6.877.300
Tasa de jóvenes (%) s/Tot16y+años;17,37;-0,1;--;17,47;-0,45;--;17,82
Jóvenes Emancipados/as *;1.563.000;-44.200;-2,75;1.607.200;-70.900;-4,34;1.633.900
- Varones emancipados;648.400;-9.000;-1,37;657.400;-20.900;-3,12;669.300
- Mujeres emancipadas;914.700;-35.100;-3,7;949.800;-49.900;-5,17;964.600
Tasa de Emancipación  (%);23,36;-0,52;--;23,88;-0,4;--;23,76
- Tasa de emancipación varones (%);19,16;-0,16;--;19,31;-0,09;--;19,25
- Tasa de emancipación mujeres (%);27,65;-0,89;--;28,54;-0,71;--;28,37
Jóvenes Activos/as;3.970.600;55.600;1,42;3.915.000;-242.200;-5,75;4.212.800
Tasa de Actividad (%);59,33;1,17;--;58,16;-1,92;--;61,26
- Tasa de actividad varones (%);61,48;1,36;--;60,12;-1,71;--;63,19
- Tasa de inactividad mujeres (%);57,13;0,97;--;56,17;-2,14;--;59,28
Jóvenes Inactivos/as;2.721.400;-94.500;-3,36;2.815.900;56.800;2,13;2.664.600
Tasa de Inactividad (%);40,67;-1,17;--;41,84;1,92;--;38,74
- Tasa de inactividad varones (%);38,52;-1,36;--;39,88;1,71;--;36,81
- Tasa de inactividad mujeres (%);42,87;-0,97;--;43,83;2,14;--;40,72
Jóvenes Ocupados/as;2.437.600;63.300;2,67;2.374.300;-39.500;-1,59;2.477.100
Tasa de Empleo (%);36,42;1,15;--;35,27;0,41;--;36,02
- Tasa de empleo varones (%);37,68;1,64;--;36,04;1,14;--;36,54
- Tasa de empleo mujeres (%);35,14;0,65;--;34,49;-0,35;--;35,49
Jóvenes por cuenta propia;232.100;11.500;5,21;220.600;9.900;4,46;222.200
Jóvenes asalariados/as;2.202.900;53.100;2,47;2.149.800;-50.600;-2,25;2.253.500
- Con contrato indefinido;1.014.300;-28.200;-2,71;1.042.500;-57.800;-5,39;1.072.100
- Con contrato temporal;1.188.700;81.400;7,35;1.107.300;7.300;0,62;1.181.400
Tasa de temporalidad (%);53,96;2,45;--;51,51;1,53;--;52,42
- Tasa de temporalidad varones (%);54,1;2,22;--;51,88;1,75;--;52,36
- Tasa de temporalidad mujeres (%);53,81;2,68;--;51,13;1,32;--;52,49
Jóvenes Parados/as;1.533.000;-7.700;-0,5;1.540.700;-202.700;-11,68;1.735.700
Jóvenes que buscan primer empleo;482.700;39.900;9,01;442.800;-11.900;-2,41;494.600
Tasa de Paro (%);38,61;-0,74;--;39,35;-2,59;--;41,2
- Tasa de paro varones (%);38,72;-1,34;--;40,06;-3,46;--;42,18
- Tasa de paro mujeres (%);38,49;-0,09;--;38,58;-1,64;--;40,13
Parados/as de 16 y más años;5.427.700;-195.200;-3,47;5.622.900;-515.700;-8,68;5.943.400
Tasa de paro de 16 y más años (%);23,67;-0,8;--;24,47;-1,98;--;25,65
- Tasa paro 16y+años varones (%);22,53;-1,17;--;23,7;-2,67;--;25,19
- Tasa prao 16y+años mujeres (%);25,01;-0,37;--;25,38;-1,17;--;26,18
