JÓVENES DE 16 A 29 AÑOS EN LA EPA;1º trim 2015;Variación sobre 4º trim 2014 (Dif);Variación sobre 4º trim 2014(%);Variación sobre 4º trim 2014 (Dato);Variación sobre 1º trim 2014 (Dif);Variación sobre 1º trim 2014 (%);Variación sobre 1º trim 2014 (Dato)
Total Población Joven;6.638.400;-25.400;-0,38;6.663.800;-126.200;-1,87;6.764.600
Tasa de jóvenes (%) s/Tot16y+años;17,23;-0,06;--;17,3;-0,34;--;17,58
Jóvenes Emancipados/as *;1.525.800;-11.700;-0,76;1.537.500;-82.700;-5,14;1.608.500
- Varones emancipados;618.600;-10.100;-1,61;628.700;-31.200;-4,8;649.800
- Mujeres emancipadas;907.200;-1.600;-0,18;908.800;-51.500;-5,37;958.700
Tasa de Emancipación  (%);22,98;-0,09;--;23,07;-0,79;--;23,78
- Tasa de emancipación varones (%);18,44;-0,23;--;18,67;-0,58;--;19,01
- Tasa de emancipación mujeres (%);27,63;0,06;--;27,58;-1,01;--;28,64
Jóvenes Activos/as;3.769.700;-91.900;-2,38;3.861.600;-163.300;-4,15;3.933.000
Tasa de Actividad (%);56,79;-1,16;--;57,95;-1,36;--;58,14
- Tasa de actividad varones (%);58,94;-0,73;--;59,66;-0,89;--;59,82
- Tasa de inactividad mujeres (%);54,59;-1,61;--;56,19;-1,84;--;56,42
Jóvenes Inactivos/as;2.868.800;66.600;2,38;2.802.200;37.200;1,31;2.831.600
Tasa de Inactividad (%);43,21;1,16;--;42,05;1,36;--;41,86
- Tasa de inactividad varones (%);41,06;0,73;--;40,34;0,89;--;40,18
- Tasa de inactividad mujeres (%);45,41;1,61;--;43,81;1,84;--;43,58
Jóvenes Ocupados/as;2.309.400;-56.600;-2,39;2.366.000;25.800;1,13;2.283.600
Tasa de Empleo (%);34,79;-0,72;--;35,51;1,03;--;33,76
- Tasa de empleo varones (%);35,72;-0,66;--;36,37;1,5;--;34,22
- Tasa de empleo mujeres (%);33,84;-0,78;--;34,62;0,55;--;33,29
Jóvenes por cuenta propia;223.500;3.400;1,54;220.100;2.900;1,31;220.600
Jóvenes asalariados/as;2.083.900;-60.800;-2,83;2.144.700;22.500;1,09;2.061.400
- Con contrato indefinido;1.005.700;-16.600;-1,62;1.022.300;-32.400;-3,12;1.038.100
- Con contrato temporal;1.078.200;-44.200;-3,94;1.122.400;55.000;5,38;1.023.200
Tasa de temporalidad (%);51,74;-0,59;--;52,34;2,1;--;49,64
- Tasa de temporalidad varones (%);50,48;-1,3;--;51,78;0,87;--;49,6
- Tasa de temporalidad mujeres (%);53,03;0,12;--;52,91;3,35;--;49,67
Jóvenes Parados/as;1.460.200;-35.400;-2,37;1.495.600;-189.200;-11,47;1.649.400
Jóvenes que buscan primer empleo;438.100;-15.900;-3,5;454.000;10.700;2,5;427.400
Tasa de Paro (%);38,74;0,01;--;38,73;-3,2;--;41,94
- Tasa de paro varones (%);39,4;0,36;--;39,04;-3,41;--;42,8
- Tasa de paro mujeres (%);38,01;-0,39;--;38,39;-3;--;41
Parados/as de 16 y más años;5.444.600;-13.100;-0,24;5.457.700;-488.700;-8,24;5.933.300
Tasa de paro de 16 y más años (%);23,78;0,07;--;23,7;-2,15;--;25,93
- Tasa paro 16y+años varones (%);22,74;-0,06;--;22,8;-2,63;--;25,37
- Tasa prao 16y+años mujeres (%);24,98;0,24;--;24,74;-1,59;--;26,57
