JÓVENES DE 16 A 29 AÑOS EN LA EPA;3º trim 2017;Variación sobre 2º trim 2017 (Dif);Variación sobre 2º trim 2017(%);Variación sobre 2º trim 2017 (Dato);Variación sobre 3º trim 2016 (Dif);Variación sobre 3º trim 2016 (%);Variación sobre 3º trim 2016 (Dato)
Total Población Joven;6.506.100;8.800;0,14;6.497.300;3.000;0,05;6.503.100
Tasa de jóvenes (%) s/Tot16y+años;16,83;0,01;--;16,82;-0,04;--;16,87
Jóvenes Emancipados/as *;1.362.200;1.100;0,08;1.361.100;-40.200;-2,87;1.402.400
- Varones emancipados;569.100;-700;-0,12;569.800;-8.400;-1,45;577.500
- Mujeres emancipadas;793.100;1.800;0,23;791.300;-31.800;-3,86;824.900
Tasa de Emancipación  (%);20,94;-0,01;--;20,95;-0,63;--;21,57
- Tasa de emancipación varones (%);17,25;-0,05;--;17,3;-0,29;--;17,53
- Tasa de emancipación mujeres (%);24,74;0,03;--;24,71;-0,97;--;25,71
Jóvenes Activos/as;3.727.900;129.500;3,6;3.598.400;32.700;0,88;3.695.200
Tasa de Actividad (%);57,3;1,91;--;55,38;0,48;--;56,82
- Tasa de actividad varones (%);59,38;2,46;--;56,92;0,92;--;58,46
- Tasa de inactividad mujeres (%);55,16;1,35;--;53,81;0,01;--;55,14
Jóvenes Inactivos/as;2.778.200;-120.700;-4,16;2.898.900;-29.700;-1,06;2.807.900
Tasa de Inactividad (%);42,7;-1,91;--;44,62;-0,48;--;43,18
- Tasa de inactividad varones (%);40,62;-2,46;--;43,08;-0,92;--;41,54
- Tasa de inactividad mujeres (%);44,84;-1,35;--;46,19;-0,01;--;44,86
Jóvenes Ocupados/as;2.672.200;143.400;5,67;2.528.800;139.400;5,5;2.532.800
Tasa de Empleo (%);41,07;2,15;--;38,92;2,12;--;38,95
- Tasa de empleo varones (%);42,54;2,59;--;39,94;2,1;--;40,44
- Tasa de empleo mujeres (%);39,56;1,69;--;37,87;2,14;--;37,42
Jóvenes por cuenta propia;209.600;2.600;1,26;207.000;6.200;3,05;203.400
Jóvenes asalariados/as;2.461.500;141.500;6,1;2.320.000;132.400;5,68;2.329.100
- Con contrato indefinido;995.400;11.500;1,17;983.900;42.500;4,46;952.900
- Con contrato temporal;1.466.200;130.100;9,74;1.336.100;90.000;6,54;1.376.200
Tasa de temporalidad (%);59,56;1,97;--;57,59;0,48;--;59,09
- Tasa de temporalidad varones (%);59,35;2,52;--;56,83;-0,46;--;59,81
- Tasa de temporalidad mujeres (%);59,79;1,41;--;58,39;1,49;--;58,31
Jóvenes Parados/as;1.055.700;-13.900;-1,3;1.069.600;-106.700;-9,18;1.162.400
Jóvenes que buscan primer empleo;352.800;11.100;3,25;341.700;-41.000;-10,41;393.800
Tasa de Paro (%);28,32;-1,41;--;29,73;-3,14;--;31,46
- Tasa de paro varones (%);28,36;-1,46;--;29,82;-2,47;--;30,83
- Tasa de paro mujeres (%);28,27;-1,35;--;29,62;-3,87;--;32,14
Parados/as de 16 y más años;3.731.700;-182.600;-4,66;3.914.300;-589.100;-13,63;4.320.800
Tasa de paro de 16 y más años (%);16,38;-0,84;--;17,22;-2,53;--;18,91
- Tasa paro 16y+años varones (%);14,8;-0,83;--;15,64;-2,59;--;17,39
- Tasa prao 16y+años mujeres (%);18,21;-0,84;--;19,04;-2,45;--;20,66
