JÓVENES DE 16 A 29 AÑOS EN LA EPA;4º trim 2021;Variación sobre 3º trim 2021 (Dif);Variación sobre 3º trim 2021  (%);Variación sobre 3º trim 2021   (Dato);Variación sobre 4º trim 2020 (Dif);Variación sobre 4º trim 2020 (%);Variación sobre 4º trim 2020 (Dato)
Total Población Joven;6.837,30;10,8;0,16;6.826,50;20,3;0,3;6.817,10
Tasa de jóvenes (%) s/Tot16y+años;17,22;0;--;17,22;0,02;--;17,2
Jóvenes Emancipados/as *;1.174,80;88,5;8,14;1.086,30;8,4;0,72;1.166,40
- Varones emancipados;504,3;46,7;10,2;457,6;34,7;7,38;469,6
- Mujeres emancipadas;670,5;41,8;6,65;628,7;-26,3;-3,77;696,8
Tasa de Emancipación  (%);17,18;1,27;--;15,91;0,07;--;17,11
- Tasa de emancipación varones (%);14,44;1,31;--;13,12;0,94;--;13,5
- Tasa de emancipación mujeres (%);20,05;1,22;--;18,83;-0,83;--;20,88
Jóvenes Activos/as;3.580,40;-231,7;-6,08;3.812,10;23,3;0,65;3.557,10
Tasa de Actividad (%);52,37;-3,48;--;55,84;0,19;--;52,18
- Tasa de actividad varones (%);53,75;-3,44;--;57,19;0,02;--;53,73
- Tasa de inactividad mujeres (%);50,92;-3,52;--;54,43;0,36;--;50,56
Jóvenes Inactivos/as;3.256,90;242,5;8,04;3.014,40;-3;-0,09;3.259,90
Tasa de Inactividad (%);47,63;3,48;--;44,16;-0,19;--;47,82
- Tasa de inactividad varones (%);46,25;3,44;--;42,81;-0,02;--;46,27
- Tasa de inactividad mujeres (%);49,08;3,52;--;45,57;-0,36;--;49,44
Jóvenes Ocupados/as;2.735,20;-106,9;-3,76;2.842,10;251,9;10,14;2.483,30
Tasa de Empleo (%);40;-1,63;--;41,63;3,58;--;36,43
- Tasa de empleo varones (%);40,84;-1,62;--;42,46;3,02;--;37,82
- Tasa de empleo mujeres (%);39,13;-1,64;--;40,77;4,16;--;34,98
Jóvenes por cuenta propia;188,4;3;1,63;185,4;12,3;7,01;176,1
Jóvenes asalariados/as;2.545,20;-106,8;-4,03;2.651,90;240,1;10,41;2.305,10
- Con contrato indefinido;1.135,60;22,6;2,03;1.113,00;31,9;2,89;1.103,70
- Con contrato temporal;1.409,60;-129,4;-8,41;1.538,90;208,2;17,33;1.201,40
Tasa de temporalidad (%);55,38;-2,65;--;58,03;3,26;--;52,12
- Tasa de temporalidad varones (%);52,33;-2,64;--;54,97;3,43;--;48,91
- Tasa de temporalidad mujeres (%);58,61;-2,65;--;61,27;3;--;55,61
Jóvenes Parados/as;110,5;4;3,75;106,6;13;13,3;97,6
Jóvenes que buscan primer empleo;313;9,9;3,27;303,1;-14,2;-4,34;327,2
Tasa de Paro (%);113,4;-10,5;-8,5;123,9;12,3;12,13;101,1
- Tasa de paro varones (%);2.198,20;-110,3;-4,78;2.308,50;240,8;12,3;1.957,40
- Tasa de paro mujeres (%);695,5;-25,9;-3,59;721,3;47,9;7,39;647,6
Parados/as de 16 y más años;281,5;-15,7;-5,3;297,2;35,1;14,25;246,4
Tasa de paro de 16 y más años (%);845,2;-124,8;-12,86;970;-228,6;-21,29;1.073,80
- Tasa paro 16y+años varones (%);23,61;-1,84;--;25,44;-6,58;--;30,19
- Tasa prao 16y+años mujeres (%);24,02;-1,75;--;25,77;-5,59;--;29,61
- Tasa de paro mujeres (%);23,15;-1,94;--;25,09;-7,68;--;30,82
Jóvenes que buscan 1er empleo;246,8;-43,8;-15,07;290,6;-4,2;-1,68;251
Jóvenes buscando empleo 1 o + años;276,4;-48,9;-15,03;325,3;-31,1;-10,11;307,5
Jóvenes parados/as en Sector Agricultura;30,6;-20,1;-39,63;50,6;-13,4;-30,42;43,9
- En la Industria;45,9;7;18,12;38,8;-1,8;-3,71;47,6
- En la Construcción;18,5;-15,3;-45,21;33,8;-8,9;-32,49;27,5
- En los Servicios;326,3;-15,5;-4,52;341,8;-137,6;-29,66;463,9
