JÓVENES DE 16 A 29 AÑOS EN LA EPA;1º trim 2021;Variación sobre 4º trim 2020 (Dif);Variación sobre 4º trim 2020  (%);Variación sobre 4º trim 2020  (Dato);Variación sobre 1º trim 2020 (Dif);Variación sobre 1º trim 2020  (%);Variación sobre 1º trim 2020 (Dato)
Total Población Joven;6.807,40;-9,6;-0,14;6.817,10;28,4;0,42;6.779,00
Tasa de jóvenes (%) s/Tot16y+años;17,18;-0,02;--;17,2;0,03;--;17,15
Jóvenes Emancipados/as *;1.145,50;-20,9;-1,79;1.166,40;-224,5;-16,39;1.370,10
- Varones emancipados;474,8;5,2;1,1;469,6;-100,8;-17,52;575,6
- Mujeres emancipadas;670,7;-26;-3,73;696,8;-123,7;-15,57;794,4
Tasa de Emancipación  (%);16,83;-0,28;--;17,11;-3,38;--;20,21
- Tasa de emancipación varones (%);13,66;0,17;--;13,5;-2,99;--;16,66
- Tasa de emancipación mujeres (%);20,13;-0,75;--;20,88;-3,78;--;23,91
Jóvenes Activos/as;3.481,40;-75,8;-2,13;3.557,10;-87,3;-2,45;3.568,60
Tasa de Actividad (%);51,14;-1,04;--;52,18;-1,5;--;52,64
- Tasa de actividad varones (%);52,71;-1,02;--;53,73;-2,38;--;55,09
- Tasa de inactividad mujeres (%);49,5;-1,06;--;50,56;-0,6;--;50,1
Jóvenes Inactivos/as;3.326,10;66,1;2,03;3.259,90;115,7;3,6;3.210,40
Tasa de Inactividad (%);48,86;1,04;--;47,82;1,5;--;47,36
- Tasa de inactividad varones (%);47,29;1,02;--;46,27;2,38;--;44,91
- Tasa de inactividad mujeres (%);50,5;1,06;--;49,44;0,6;--;49,9
Jóvenes Ocupados/as;2.429,10;-54,3;-2,18;2.483,30;-241,2;-9,03;2.670,30
Tasa de Empleo (%);35,68;-0,75;--;36,43;-3,71;--;39,39
- Tasa de empleo varones (%);37,27;-0,55;--;37,82;-4,19;--;41,46
- Tasa de empleo mujeres (%);34,02;-0,95;--;34,98;-3,22;--;37,24
Jóvenes por cuenta propia;183,6;7,5;4,24;176,1;7,2;4,07;176,4
Jóvenes asalariados/as;2.241,60;-63,5;-2,76;2.305,10;-250,9;-10,07;2.492,40
- Con contrato indefinido;1.074,20;-29,5;-2,67;1.103,70;-93;-7,97;1.167,20
- Con contrato temporal;1.167,40;-34;-2,83;1.201,40;-157,8;-11,91;1.325,20
Tasa de temporalidad (%);52,08;-0,04;--;52,12;-1,09;--;53,17
- Tasa de temporalidad varones (%);49,29;0,38;--;48,91;-2,24;--;51,53
- Tasa de temporalidad mujeres (%);55,12;-0,49;--;55,61;0,12;--;55
Jóvenes Parados/as;106,9;9,3;9,57;97,6;8;8,04;99
Jóvenes que buscan primer empleo;298,9;-28,3;-8,64;327,2;-25,4;-7,83;324,3
Tasa de Paro (%);114,2;13;12,89;101,1;-7,9;-6,48;122,1
- Tasa de paro varones (%);1.909,00;-48,4;-2,47;1.957,40;-215,9;-10,16;2.124,90
- Tasa de paro mujeres (%);637,1;-10,5;-1,63;647,6;-58,9;-8,46;696
Parados/as de 16 y más años;251,1;4,7;1,91;246,4;15,8;6,72;235,3
Tasa de paro de 16 y más años (%);1.052,30;-21,5;-2;1.073,80;154;17,14;898,3
- Tasa paro 16y+años varones (%);30,23;0,04;--;30,19;5,05;--;25,17
- Tasa prao 16y+años mujeres (%);29,28;-0,33;--;29,61;4,55;--;24,74
- Tasa de paro mujeres (%);31,27;0,45;--;30,82;5,6;--;25,67
Jóvenes que buscan 1er empleo;250,5;-0,5;-0,2;251;29,8;13,52;220,7
Jóvenes buscando empleo 1 o + años;361,7;54,2;17,64;307,5;100,4;38,41;261,3
Jóvenes parados/as en Sector Agricultura;51;7,1;16,21;43,9;12,7;33,11;38,3
- En la Industria;52;4,4;9,16;47,6;10,3;24,69;41,7
- En la Construcción;28,4;1;3,53;27,5;11,3;65,55;17,2
- En los Servicios;425;-38,8;-8,38;463,9;-15,1;-3,43;440,1
