JÓVENES DE 16 A 29 AÑOS EN LA EPA;4º trim 2018;Variación sobre 3º trim 2018 (Dif);Variación sobre 3º trim 2018(%);Variación sobre 3º trim 2018 (Dato);Variación sobre 4º trim 2017 (Dif);Variación sobre 4º trim 2017 (%);Variación sobre 4º trim 2017 (Dato)
Total Población Joven;6.611,40;27,1;0,41;6.584,30;92,2;1,41;6.519,20
Tasa de jóvenes (%) s/Tot16y+años;16,94;0,02;--;16,92;0,11;--;16,84
Jóvenes Emancipados/as *;1.379,50;6,9;0,5;1.372,70;8,5;0,62;1.371,00
- Varones emancipados;583,4;-0,5;-0,09;583,9;5,7;0,99;577,7
- Mujeres emancipadas;796,2;7,4;0,94;788,8;2,8;0,35;793,4
Tasa de Emancipación  (%);20,87;0,02;--;20,85;-0,16;--;21,03
- Tasa de emancipación varones (%);17,36;-0,1;--;17,46;-0,1;--;17,46
- Tasa de emancipación mujeres (%);24,49;0,14;--;24,35;-0,22;--;24,71
Jóvenes Activos/as;3.594,60;-108,3;-2,92;3.702,90;3;0,08;3.591,60
Tasa de Actividad (%);54,37;-1,87;--;56,24;-0,72;--;55,09
- Tasa de actividad varones (%);56,7;-2,08;--;58,78;0,22;--;56,48
- Tasa de inactividad mujeres (%);51,96;-1,66;--;53,61;-1,7;--;53,66
Jóvenes Inactivos/as;3.016,80;135,4;4,7;2.881,40;89,2;3,05;2.927,60
Tasa de Inactividad (%);45,63;1,87;--;43,76;0,72;--;44,91
- Tasa de inactividad varones (%);43,3;2,08;--;41,22;-0,22;--;43,52
- Tasa de inactividad mujeres (%);48,04;1,66;--;46,39;1,7;--;46,34
Jóvenes Ocupados/as;2.692,10;-76,3;-2,76;2.768,40;114,8;4,46;2.577,20
Tasa de Empleo (%);40,72;-1,33;--;42,05;1,19;--;39,53
- Tasa de empleo varones (%);42,56;-1,43;--;43,98;1,92;--;40,64
- Tasa de empleo mujeres (%);38,82;-1,23;--;40,04;0,43;--;38,39
Jóvenes por cuenta propia;190,1;-0,1;-0,06;190,3;-23,5;-11;213,7
Jóvenes asalariados/as;2.500,60;-76;-2,95;2.576,60;137,4;5,81;2.363,20
- Con contrato indefinido;1.112,60;5;0,46;1.107,60;96,6;9,51;1.016,00
- Con contrato temporal;1.388,00;-81;-5,52;1.469,00;40,8;3,03;1.347,20
Tasa de temporalidad (%);55,51;-1,51;--;57,01;-1,5;--;57,01
- Tasa de temporalidad varones (%);54,52;-1,18;--;55,7;-1,69;--;56,2
- Tasa de temporalidad mujeres (%);56,59;-1,88;--;58,47;-1,27;--;57,86
Jóvenes Parados/as;902,5;-32;-3,42;934,5;-111,9;-11,03;1.014,40
Jóvenes que buscan primer empleo;263,2;-39,1;-12,93;302,3;-66,9;-20,28;330,1
Tasa de Paro (%);25,11;-0,13;--;25,24;-3,14;--;28,24
- Tasa de paro varones (%);24,94;-0,23;--;25,17;-3,1;--;28,05
- Tasa de paro mujeres (%);25,29;-0,02;--;25,31;-3,16;--;28,46
Parados/as de 16 y más años;3.304,30;-21,7;-0,65;3.326,00;-462,4;-12,28;3.766,70
Tasa de paro de 16 y más años (%);14,45;-0,1;--;14,55;-2,1;--;16,55
- Tasa paro 16y+años varones (%);12,87;-0,24;--;13,12;-2,1;--;14,97
- Tasa prao 16y+años mujeres (%);16,26;0,04;--;16,22;-2,09;--;18,35
