JÓVENES DE 16 A 29 AÑOS EN LA EPA;1º trim 2018;Variación sobre 4º trim 2017 (Dif);Variación sobre 4º trim 2017(%);Variación sobre 4º trim 2017 (Dato);Variación sobre 1º trim 2017 (Dif);Variación sobre 1º trim 2017 (%);Variación sobre 1º trim 2017 (Dato)
Total Población Joven;6.540,60;21,4;0,33;6.519,20;45,9;0,71;6.494,70
Tasa de jóvenes (%) s/Tot16y+años;16,87;0,03;--;16,84;0,04;--;16,82
Jóvenes Emancipados/as *;1.382,40;11,4;0,83;1.371,00;15,4;1,12;1.367,00
- Varones emancipados;590,2;12,6;2,17;577,7;20,2;3,54;570
- Mujeres emancipadas;792,2;-1,2;-0,15;793,4;-4,8;-0,6;797
Tasa de Emancipación  (%);21,14;0,1;--;21,03;0,09;--;21,05
- Tasa de emancipación varones (%);17,78;0,32;--;17,46;0,46;--;17,31
- Tasa de emancipación mujeres (%);24,6;-0,11;--;24,71;-0,29;--;24,89
Jóvenes Activos/as;3.519,60;-72;-2,01;3.591,60;-3,6;-0,1;3.523,20
Tasa de Actividad (%);53,81;-1,28;--;55,09;-0,44;--;54,25
- Tasa de actividad varones (%);55,68;-0,8;--;56,48;-0,38;--;56,06
- Tasa de inactividad mujeres (%);51,89;-1,77;--;53,66;-0,5;--;52,38
Jóvenes Inactivos/as;3.021,00;93,4;3,19;2.927,60;49,5;1,66;2.971,50
Tasa de Inactividad (%);46,19;1,28;--;44,91;0,44;--;45,75
- Tasa de inactividad varones (%);44,32;0,8;--;43,52;0,38;--;43,94
- Tasa de inactividad mujeres (%);48,11;1,77;--;46,34;0,5;--;47,62
Jóvenes Ocupados/as;2.531,90;-45,4;-1,76;2.577,20;121,4;5,03;2.410,50
Tasa de Empleo (%);38,71;-0,82;--;39,53;1,59;--;37,12
- Tasa de empleo varones (%);39,85;-0,8;--;40,64;1,59;--;38,26
- Tasa de empleo mujeres (%);37,54;-0,85;--;38,39;1,6;--;35,94
Jóvenes por cuenta propia;209,2;-4,5;-2,1;213,7;9,8;4,9;199,4
Jóvenes asalariados/as;2.321,30;-41,9;-1,77;2.363,20;110,8;5,01;2.210,50
- Con contrato indefinido;1.011,50;-4,5;-0,44;1.016,00;28,4;2,89;983,1
- Con contrato temporal;1.309,80;-37,4;-2,78;1.347,20;82,4;6,71;1.227,40
Tasa de temporalidad (%);56,42;-0,58;--;57,01;0,9;--;55,53
- Tasa de temporalidad varones (%);55,31;-0,89;--;56,2;0,87;--;54,44
- Tasa de temporalidad mujeres (%);57,61;-0,25;--;57,86;0,94;--;56,67
Jóvenes Parados/as;987,7;-26,7;-2,63;1.014,40;-124,9;-11,23;1.112,70
Jóvenes que buscan primer empleo;279,2;-50,9;-15,42;330,1;-51,8;-15,65;331
Tasa de Paro (%);28,06;-0,18;--;28,24;-3,52;--;31,58
- Tasa de paro varones (%);28,43;0,39;--;28,05;-3,32;--;31,76
- Tasa de paro mujeres (%);27,65;-0,8;--;28,46;-3,73;--;31,39
Parados/as de 16 y más años;3.796,10;29,4;0,78;3.766,70;-458,9;-10,79;4.255,00
Tasa de paro de 16 y más años (%);16,74;0,2;--;16,55;-2,01;--;18,75
- Tasa paro 16y+años varones (%);15,18;0,21;--;14,97;-2,04;--;17,22
- Tasa prao 16y+años mujeres (%);18,54;0,19;--;18,35;-1,97;--;20,51
