JÓVENES DE 16 A 29 AÑOS EN LA EPA;1º trim 2016;Variación sobre 4º trim 2015 (Dif);Variación sobre 4º trim 2015(%);Variación sobre 4º trim 2015 (Dato);Variación sobre 1º trim 2015 (Dif);Variación sobre 1º trim 2015 (%);Variación sobre 1º trim 2015 (Dato)
Total Población Joven;6.533.000;-19.500;-0,3;6.552.500;-105.400;-1,59;6.638.400
Tasa de jóvenes (%) s/Tot16y+años;16,97;-0,05;--;17,02;-0,26;--;17,23
Jóvenes Emancipados/as *;1.440.600;-7.500;-0,52;1.448.100;-85.200;-5,58;1.525.800
- Varones emancipados;581.500;-11.100;-1,87;592.600;-37.100;-6;618.600
- Mujeres emancipadas;859.100;3.500;0,41;855.600;-48.100;-5,3;907.200
Tasa de Emancipación  (%);22,05;-0,05;--;22,1;-0,93;--;22,98
- Tasa de emancipación varones (%);17,59;-0,28;--;17,87;-0,85;--;18,44
- Tasa de emancipación mujeres (%);26,62;0,19;--;26,43;-1,01;--;27,63
Jóvenes Activos/as;3.586.500;-73.900;-2,02;3.660.400;-183.200;-4,86;3.769.700
Tasa de Actividad (%);54,9;-0,96;--;55,86;-1,89;--;56,79
- Tasa de actividad varones (%);56,84;-0,9;--;57,74;-2,09;--;58,94
- Tasa de inactividad mujeres (%);52,91;-1,03;--;53,94;-1,68;--;54,59
Jóvenes Inactivos/as;2.946.500;54.400;1,88;2.892.100;77.700;2,71;2.868.800
Tasa de Inactividad (%);45,1;0,96;--;44,14;1,89;--;43,21
- Tasa de inactividad varones (%);43,16;0,9;--;42,26;2,09;--;41,06
- Tasa de inactividad mujeres (%);47,09;1,03;--;46,06;1,68;--;45,41
Jóvenes Ocupados/as;2.307.200;-66.500;-2,8;2.373.700;-2.200;-0,1;2.309.400
Tasa de Empleo (%);35,32;-0,91;--;36,23;0,53;--;34,79
- Tasa de empleo varones (%);36,84;-0,24;--;37,08;1,12;--;35,72
- Tasa de empleo mujeres (%);33,76;-1,59;--;35,35;-0,08;--;33,84
Jóvenes por cuenta propia;197.800;-15.800;-7,4;213.600;-25.700;-11,5;223.500
Jóvenes asalariados/as;2.107.500;-50.900;-2,36;2.158.400;23.600;1,13;2.083.900
- Con contrato indefinido;969.700;200;0,02;969.500;-36.000;-3,58;1.005.700
- Con contrato temporal;1.137.800;-51.100;-4,3;1.188.900;59.600;5,53;1.078.200
Tasa de temporalidad (%);53,99;-1,1;--;55,08;2,25;--;51,74
- Tasa de temporalidad varones (%);53,43;-1,95;--;55,39;2,96;--;50,48
- Tasa de temporalidad mujeres (%);54,59;-0,18;--;54,77;1,56;--;53,03
Jóvenes Parados/as;1.279.300;-7.400;-0,58;1.286.700;-180.900;-12,39;1.460.200
Jóvenes que buscan primer empleo;341.000;-43.100;-11,22;384.100;-97.100;-22,16;438.100
Tasa de Paro (%);35,67;0,52;--;35,15;-3,07;--;38,74
- Tasa de paro varones (%);35,19;-0,59;--;35,78;-4,21;--;39,4
- Tasa de paro mujeres (%);36,2;1,73;--;34,46;-1,81;--;38,01
Parados/as de 16 y más años;4.791.400;11.900;0,25;4.779.500;-653.200;-12;5.444.600
Tasa de paro de 16 y más años (%);21;0,1;--;20,9;-2,78;--;23,78
- Tasa paro 16y+años varones (%);19,45;-0,04;--;19,49;-3,29;--;22,74
- Tasa prao 16y+años mujeres (%);22,78;0,26;--;22,52;-2,2;--;24,98
