JÓVENES DE 16 A 29 AÑOS EN LA EPA;4º trim 2020;Variación sobre 3º trim 2020 (Dif);Variación sobre 3º trim 2020 (%);Variación sobre 3º trim 2020 (Dato);Variación sobre 4º trim 2019 (Dif);Variación sobre 4º trim 2019 (%);Variación sobre 4º trim 2019 (Dato)
Total Población Joven;6.807,50;14,7;0,34;4.288,00;82,5;1,95;4.220,20
Tasa de jóvenes (%) s/Tot16y+años;17,19;0,03;--;10,83;0,15;--;10,7
Jóvenes Emancipados/as *;1.168,00;-2,1;-1,01;210,6;-75;-26,46;283,4
- Varones emancipados;466,2;1,6;1,81;87,5;-36,9;-29,29;126,1
- Mujeres emancipadas;701,8;-3,7;-3,02;123;-38,1;-24,2;157,4
Tasa de Emancipación  (%);17,16;-0,07;--;4,91;-1,87;--;6,72
- Tasa de emancipación varones (%);13,42;0,06;--;3,98;-1,79;--;5,82
- Tasa de emancipación mujeres (%);21,05;-0,2;--;5,9;-1,96;--;7,66
Jóvenes Activos/as;3.617,00;-112,6;-7,32;1.538,70;-90,5;-5,97;1.516,60
Tasa de Actividad (%);53,13;-2,74;--;35,88;-2,79;--;35,94
- Tasa de actividad varones (%);54,58;-3,14;--;38,4;-3,45;--;38,72
- Tasa de inactividad mujeres (%);51,63;-2,32;--;33,22;-2,1;--;33
Jóvenes Inactivos/as;3.190,50;127,3;4,63;2.749,30;173;6,4;2.703,60
Tasa de Inactividad (%);46,87;2,74;--;64,12;2,79;--;64,06
- Tasa de inactividad varones (%);45,42;3,14;--;61,6;3,45;--;61,28
- Tasa de inactividad mujeres (%);48,37;2,32;--;66,78;2,1;--;67
Jóvenes Ocupados/as;2.480,00;-62,5;-6,82;916,3;-200,1;-18,99;1.053,80
Tasa de Empleo (%);36,43;-1,53;--;21,37;-5,13;--;24,97
- Tasa de empleo varones (%);37,96;-2;--;23,55;-5,84;--;27,4
- Tasa de empleo mujeres (%);34,84;-1,03;--;19,07;-4,38;--;22,42
Jóvenes por cuenta propia;171,4;-12,1;-19,17;63,1;-8,8;-14,7;59,8
Jóvenes asalariados/as;2.307,80;-51,2;-6;853,2;-191,3;-19,26;993,4
- Con contrato indefinido;1.079,60;8,3;3,1;268,4;-29,8;-9,74;306,5
- Con contrato temporal;1.228,30;-59,5;-10,17;584,8;-161,5;-23,51;686,8
Tasa de temporalidad (%);53,22;-3,04;--;68,55;-3,64;--;69,14
- Tasa de temporalidad varones (%);51;-4,38;--;66,17;-6,76;--;68,55
- Tasa de temporalidad mujeres (%);55,66;-1,52;--;71,5;0,09;--;69,89
Jóvenes Parados/as;92,8;2,5;6,9;35,7;-3,7;-8,8;41,8
Jóvenes que buscan primer empleo;321,4;0,5;0,46;99,2;-13;-11,57;112,7
Tasa de Paro (%);98,3;-3,9;-8,51;46,3;0;0,03;42,3
- Tasa de paro varones (%);1.967,40;-61,5;-8,37;735,1;-183,4;-21,4;857
- Tasa de paro mujeres (%);608,6;6,6;2,04;324;-78,4;-19,17;409
Parados/as de 16 y más años;248,5;-11,9;-16,51;71,8;1,7;2,96;58,2
Tasa de paro de 16 y más años (%);1.137,00;-50;-8,04;622,4;109,6;23,69;462,7
- Tasa paro 16y+años varones (%);31,43;-0,32;--;40,45;9,62;--;30,51
- Tasa prao 16y+años mujeres (%);30,44;0,21;--;38,69;9,64;--;29,25
- Tasa de paro mujeres (%);32,53;-0,97;--;42,6;9,56;--;32,07
Jóvenes que buscan 1er empleo;280;-17,6;-8,24;213,9;22;12,64;174,2
Jóvenes buscando empleo 1 o + años;266,4;28,2;23,06;122,3;33,9;29,07;116,6
Jóvenes parados/as en Sector Agricultura;47,1;3,5;15,1;23,5;4,4;19,31;22,6
- En la Industria;53,3;-5,7;-21,46;26,4;1,5;7,63;19,3
- En la Construcción;23,5;-1,4;-11,12;12,2;2,8;35,37;8
- En los Servicios;552,4;-56;-20,66;271,1;31,5;17,16;183,6
