JÓVENES DE 16 A 29 AÑOS EN LA EPA;2º trim 2017;Variación sobre 1º trim 2017 (Dif);Variación sobre 1º trim 2017(%);Variación sobre 1º trim 2017 (Dato);Variación sobre 2º trim 2016 (Dif);Variación sobre 2º trim 2016 (%);Variación sobre 2º trim 2016 (Dato)
Total Población Joven;6.497.300;2.600;0,04;6.494.700;-20.000;-0,31;6.517.300
Tasa de jóvenes (%) s/Tot16y+años;16,82;0;--;16,82;-0,11;--;16,93
Jóvenes Emancipados/as *;1.361.100;-5.900;-0,43;1.367.000;-29.300;-2,11;1.390.400
- Varones emancipados;569.800;-200;-0,04;570.000;2.400;0,42;567.400
- Mujeres emancipadas;791.300;-5.700;-0,72;797.000;-31.700;-3,85;823.000
Tasa de Emancipación  (%);20,95;-0,1;--;21,05;-0,39;--;21,33
- Tasa de emancipación varones (%);17,3;-0,02;--;17,31;0,1;--;17,2
- Tasa de emancipación mujeres (%);24,71;-0,18;--;24,89;-0,87;--;25,58
Jóvenes Activos/as;3.598.400;75.200;2,13;3.523.200;-33.800;-0,93;3.632.200
Tasa de Actividad (%);55,38;1,14;--;54,25;-0,35;--;55,73
- Tasa de actividad varones (%);56,92;0,86;--;56,06;-0,7;--;57,62
- Tasa de inactividad mujeres (%);53,81;1,42;--;52,38;0,01;--;53,8
Jóvenes Inactivos/as;2.898.900;-72.600;-2,44;2.971.500;13.800;0,48;2.885.100
Tasa de Inactividad (%);44,62;-1,14;--;45,75;0,35;--;44,27
- Tasa de inactividad varones (%);43,08;-0,86;--;43,94;0,7;--;42,38
- Tasa de inactividad mujeres (%);46,19;-1,42;--;47,62;-0,01;--;46,2
Jóvenes Ocupados/as;2.528.800;118.300;4,91;2.410.500;146.200;6,14;2.382.600
Tasa de Empleo (%);38,92;1,81;--;37,12;2,36;--;36,56
- Tasa de empleo varones (%);39,94;1,69;--;38,26;1,98;--;37,96
- Tasa de empleo mujeres (%);37,87;1,93;--;35,94;2,75;--;35,11
Jóvenes por cuenta propia;207.000;7.600;3,81;199.400;7.000;3,5;200.000
Jóvenes asalariados/as;2.320.000;109.500;4,95;2.210.500;137.900;6,32;2.182.100
- Con contrato indefinido;983.900;800;0,08;983.100;11.500;1,18;972.400
- Con contrato temporal;1.336.100;108.700;8,86;1.227.400;126.400;10,45;1.209.700
Tasa de temporalidad (%);57,59;2,06;--;55,53;2,15;--;55,44
- Tasa de temporalidad varones (%);56,83;2,39;--;54,44;1,65;--;55,18
- Tasa de temporalidad mujeres (%);58,39;1,72;--;56,67;2,67;--;55,72
Jóvenes Parados/as;1.069.600;-43.100;-3,87;1.112.700;-180.000;-14,4;1.249.600
Jóvenes que buscan primer empleo;341.700;10.700;3,23;331.000;-43.200;-11,22;384.900
Tasa de Paro (%);29,73;-1,86;--;31,58;-4,68;--;34,4
- Tasa de paro varones (%);29,82;-1,94;--;31,76;-4,29;--;34,11
- Tasa de paro mujeres (%);29,62;-1,77;--;31,39;-5,11;--;34,73
Parados/as de 16 y más años;3.914.300;-340.700;-8,01;4.255.000;-660.400;-14,44;4.574.700
Tasa de paro de 16 y más años (%);17,22;-1,53;--;18,75;-2,78;--;20
- Tasa paro 16y+años varones (%);15,64;-1,58;--;17,22;-2,77;--;18,41
- Tasa prao 16y+años mujeres (%);19,04;-1,46;--;20,51;-2,78;--;21,82
