JÓVENES DE 16 A 29 AÑOS EN LA EPA;3º trim 2018;Variación sobre 2º trim 2018 (Dif);Variación sobre 2º trim 2018(%);Variación sobre 2º trim 2018 (Dato);Variación sobre 3º trim 2017 (Dif);Variación sobre 3º trim 2017 (%);Variación sobre 3º trim 2017 (Dato)
Total Población Joven;6.584,30;20,9;0,32;6.563,40;78,2;1,2;6.506,10
Tasa de jóvenes (%) s/Tot16y+años;16,92;0,02;--;16,9;0,09;--;16,83
Jóvenes Emancipados/as *;1.372,70;-17,6;-1,26;1.390,30;10,4;0,77;1.362,20
- Varones emancipados;583,9;-5,9;-1;589,8;14,8;2,59;569,1
- Mujeres emancipadas;788,8;-11,7;-1,46;800,4;-4,3;-0,54;793,1
Tasa de Emancipación  (%);20,85;-0,33;--;21,18;-0,09;--;20,94
- Tasa de emancipación varones (%);17,46;-0,24;--;17,7;0,21;--;17,25
- Tasa de emancipación mujeres (%);24,35;-0,43;--;24,78;-0,39;--;24,74
Jóvenes Activos/as;3.702,90;90,3;2,5;3.612,50;-25;-0,67;3.727,90
Tasa de Actividad (%);56,24;1,2;--;55,04;-1,06;--;57,3
- Tasa de actividad varones (%);58,78;1,95;--;56,83;-0,6;--;59,38
- Tasa de inactividad mujeres (%);53,61;0,42;--;53,2;-1,54;--;55,16
Jóvenes Inactivos/as;2.881,40;-69,4;-2,35;2.950,80;103,2;3,71;2.778,20
Tasa de Inactividad (%);43,76;-1,2;--;44,96;1,06;--;42,7
- Tasa de inactividad varones (%);41,22;-1,95;--;43,17;0,6;--;40,62
- Tasa de inactividad mujeres (%);46,39;-0,42;--;46,8;1,54;--;44,84
Jóvenes Ocupados/as;2.768,40;111,6;4,2;2.656,80;96,3;3,6;2.672,20
Tasa de Empleo (%);42,05;1,57;--;40,48;0,97;--;41,07
- Tasa de empleo varones (%);43,98;2,2;--;41,78;1,45;--;42,54
- Tasa de empleo mujeres (%);40,04;0,91;--;39,13;0,48;--;39,56
Jóvenes por cuenta propia;190,3;-4,7;-2,41;195;-19,4;-9,24;209,6
Jóvenes asalariados/as;2.576,60;116,7;4,75;2.459,80;115;4,67;2.461,50
- Con contrato indefinido;1.107,60;32,3;3;1.075,30;112,2;11,27;995,4
- Con contrato temporal;1.469,00;84,5;6,1;1.384,50;2,8;0,19;1.466,20
Tasa de temporalidad (%);57,01;0,73;--;56,28;-2,55;--;59,56
- Tasa de temporalidad varones (%);55,7;1,13;--;54,57;-3,65;--;59,35
- Tasa de temporalidad mujeres (%);58,47;0,35;--;58,13;-1,32;--;59,79
Jóvenes Parados/as;934,5;-21,3;-2,23;955,8;-121,2;-11,48;1.055,70
Jóvenes que buscan primer empleo;302,3;16,7;5,83;285,6;-50,5;-14,32;352,8
Tasa de Paro (%);25,24;-1,22;--;26,46;-3,08;--;28,32
- Tasa de paro varones (%);25,17;-1,31;--;26,48;-3,19;--;28,36
- Tasa de paro mujeres (%);25,31;-1,12;--;26,44;-2,96;--;28,27
Parados/as de 16 y más años;3.326,00;-164,1;-4,7;3.490,10;-405,8;-10,87;3.731,70
Tasa de paro de 16 y más años (%);14,55;-0,73;--;15,28;-1,83;--;16,38
- Tasa paro 16y+años varones (%);13,12;-0,6;--;13,72;-1,69;--;14,8
- Tasa prao 16y+años mujeres (%);16,22;-0,86;--;17,08;-1,99;--;18,21
