JÓVENES DE 16 A 29 AÑOS EN LA EPA;1º trim 2020;Variación sobre 4º trim 2019 (Dif);Variación sobre 4º trim 2019 (%);Variación sobre 4º trim 2019  (Dato);Variación sobre 1º trim 2019 (Dif);Variación sobre 1º trim 2019  (%);Variación sobre 1º trim 2019 (Dato)
Total Población Joven;6.779,00;37;0,55;6.742,00;135,1;2,03;6.643,90
Tasa de jóvenes (%) s/Tot16y+años;17,15;0,05;--;17,1;0,17;--;16,99
Jóvenes Emancipados/as *;1.370,10;-21,3;-1,53;1.391,40;-12,8;-0,92;1.382,80
- Varones emancipados;575,6;-12,7;-2,16;588,3;-7,9;-1,35;583,5
- Mujeres emancipadas;794,4;-8,6;-1,07;803,1;-4,9;-0,61;799,3
Tasa de Emancipación  (%);20,21;-0,43;--;20,64;-0,6;--;20,81
- Tasa de emancipación varones (%);16,66;-0,47;--;17,13;-0,61;--;17,26
- Tasa de emancipación mujeres (%);23,91;-0,38;--;24,29;-0,58;--;24,49
Jóvenes Activos/as;3.568,60;-70,1;-1,93;3.638,70;31,6;0,89;3.537,10
Tasa de Actividad (%);52,64;-1,33;--;53,97;-0,6;--;53,24
- Tasa de actividad varones (%);55,09;-1,43;--;56,51;-0,38;--;55,47
- Tasa de inactividad mujeres (%);50,1;-1,23;--;51,33;-0,83;--;50,93
Jóvenes Inactivos/as;3.210,40;107;3,45;3.103,30;103,6;3,33;3.106,80
Tasa de Inactividad (%);47,36;1,33;--;46,03;0,6;--;46,76
- Tasa de inactividad varones (%);44,91;1,43;--;43,49;0,38;--;44,53
- Tasa de inactividad mujeres (%);49,9;1,23;--;48,67;0,83;--;49,07
Jóvenes Ocupados/as;2.670,30;-101,9;-3,68;2.772,20;48,2;1,84;2.622,10
Tasa de Empleo (%);39,39;-1,73;--;41,12;-0,08;--;39,47
- Tasa de empleo varones (%);41,46;-1,83;--;43,29;-0,18;--;41,64
- Tasa de empleo mujeres (%);37,24;-1,62;--;38,86;0,02;--;37,22
Jóvenes por cuenta propia;176,4;-5,8;-3,17;182,2;-2,9;-1,59;179,2
Jóvenes asalariados/as;2.492,40;-93,7;-3,62;2.586,10;50,2;2,06;2.442,20
- Con contrato indefinido;1.167,20;14,7;1,28;1.152,50;47,4;4,24;1.119,80
- Con contrato temporal;1.325,20;-108,4;-7,56;1.433,60;2,8;0,21;1.322,40
Tasa de temporalidad (%);53,17;-2,27;--;55,43;-0,98;--;54,15
- Tasa de temporalidad varones (%);51,53;-2,1;--;53,63;-2,24;--;53,77
- Tasa de temporalidad mujeres (%);55;-2,44;--;57,44;0,43;--;54,57
Jóvenes Parados/as;99;1;0,99;98;-10,2;-9,38;109,2
Jóvenes que buscan primer empleo;324,3;-16,1;-4,73;340,4;7,5;2,35;316,9
Tasa de Paro (%);122,1;7,3;6,34;114,8;4,3;3,66;117,8
- Tasa de paro varones (%);2.124,90;-94;-4,24;2.218,90;46,7;2,25;2.078,20
- Tasa de paro mujeres (%);696;-48,7;-6,55;744,7;12,5;1,82;683,5
Parados/as de 16 y más años;235,3;-1,3;-0,53;236,5;5,2;2,24;230,1
Tasa de paro de 16 y más años (%);898,3;31,8;3,67;866,5;-16,6;-1,82;915
- Tasa paro 16y+años varones (%);25,17;1,36;--;23,81;-0,69;--;25,87
- Tasa prao 16y+años mujeres (%);24,74;1,34;--;23,39;-0,19;--;24,93
- Tasa de paro mujeres (%);25,67;1,38;--;24,29;-1,25;--;26,93
Jóvenes que buscan 1er empleo;220,7;-12,7;-5,46;233,4;-33,4;-13,16;254,1
Jóvenes buscando empleo 1 o + años;261,3;17,5;7,16;243,9;-5,9;-2,2;267,2
Jóvenes parados/as en Sector Agricultura;38,3;-4,3;-9,98;42,6;-6,2;-14,01;44,6
- En la Industria;41,7;-2,1;-4,81;43,8;-12,8;-23,42;54,4
- En la Construcción;17,2;-8,5;-33,23;25,7;-2,1;-10,75;19,2
- En los Servicios;440,1;71;19,24;369,1;39;9,72;401,1
