JÓVENES DE 16 A 29 AÑOS EN LA EPA;3º trim 2016;Variación sobre 2º trim 2016 (Dif);Variación sobre 2º trim 2016(%);Variación sobre 2º trim 2016 (Dato);Variación sobre 3º trim 2015 (Dif);Variación sobre 3º trim 2015 (%);Variación sobre 3º trim 2015 (Dato)
Total Población Joven;6.503.100;-14.200;-0,22;6.517.300;-80.700;-1,23;6.583.800
Tasa de jóvenes (%) s/Tot16y+años;16,87;-0,05;--;16,93;-0,23;--;17,11
Jóvenes Emancipados/as *;1.402.400;12.000;0,86;1.390.400;-47.200;-3,26;1.449.600
- Varones emancipados;577.500;10.100;1,78;567.400;-6.900;-1,18;584.400
- Mujeres emancipadas;824.900;1.900;0,23;823.000;-40.300;-4,66;865.200
Tasa de Emancipación  (%);21,57;0,23;--;21,33;-0,45;--;22,02
- Tasa de emancipación varones (%);17,53;0,33;--;17,2;-0,01;--;17,54
- Tasa de emancipación mujeres (%);25,71;0,13;--;25,58;-0,89;--;26,6
Jóvenes Activos/as;3.695.200;63.000;1,73;3.632.200;-146.300;-3,81;3.841.500
Tasa de Actividad (%);56,82;1,09;--;55,73;-1,53;--;58,35
- Tasa de actividad varones (%);58,46;0,84;--;57,62;-1,82;--;60,28
- Tasa de inactividad mujeres (%);55,14;1,34;--;53,8;-1,22;--;56,37
Jóvenes Inactivos/as;2.807.900;-77.200;-2,68;2.885.100;65.600;2,39;2.742.300
Tasa de Inactividad (%);43,18;-1,09;--;44,27;1,53;--;41,65
- Tasa de inactividad varones (%);41,54;-0,84;--;42,38;1,82;--;39,72
- Tasa de inactividad mujeres (%);44,86;-1,34;--;46,2;1,22;--;43,63
Jóvenes Ocupados/as;2.532.800;150.200;6,3;2.382.600;69.200;2,81;2.463.600
Tasa de Empleo (%);38,95;2,39;--;36,56;1,53;--;37,42
- Tasa de empleo varones (%);40,44;2,47;--;37,96;1,86;--;38,58
- Tasa de empleo mujeres (%);37,42;2,3;--;35,11;1,19;--;36,23
Jóvenes por cuenta propia;203.400;3.400;1,7;200.000;-12.500;-5,79;215.900
Jóvenes asalariados/as;2.329.100;147.000;6,74;2.182.100;82.400;3,67;2.246.700
- Con contrato indefinido;952.900;-19.500;-2,01;972.400;-20.700;-2,13;973.600
- Con contrato temporal;1.376.200;166.500;13,76;1.209.700;103.100;8,1;1.273.100
Tasa de temporalidad (%);59,09;3,65;--;55,44;2,42;--;56,67
- Tasa de temporalidad varones (%);59,81;4,64;--;55,18;3,16;--;56,66
- Tasa de temporalidad mujeres (%);58,31;2,59;--;55,72;1,63;--;56,68
Jóvenes Parados/as;1.162.400;-87.200;-6,98;1.249.600;-215.600;-15,65;1.378.000
Jóvenes que buscan primer empleo;393.800;8.900;2,31;384.900;-78.900;-16,69;472.700
Tasa de Paro (%);31,46;-2,95;--;34,4;-4,41;--;35,87
- Tasa de paro varones (%);30,83;-3,28;--;34,11;-5,18;--;36,01
- Tasa de paro mujeres (%);32,14;-2,59;--;34,73;-3,58;--;35,72
Parados/as de 16 y más años;4.320.800;-253.900;-5,55;4.574.700;-530.000;-10,93;4.850.800
Tasa de paro de 16 y más años (%);18,91;-1,09;--;20;-2,27;--;21,18
- Tasa paro 16y+años varones (%);17,39;-1,01;--;18,41;-2,51;--;19,9
- Tasa prao 16y+años mujeres (%);20,66;-1,16;--;21,82;-2,02;--;22,69
