JÓVENES DE 16 A 29 AÑOS EN LA EPA;2º trim 2016;Variación sobre 1º trim 2016 (Dif);Variación sobre 1º trim 2016(%);Variación sobre 1º trim 2016 (Dato);Variación sobre 2º trim 2015 (Dif);Variación sobre 2º trim 2015 (%);Variación sobre 2º trim 2015 (Dato)
Total Población Joven;6.517.300;-15.700;-0,24;6.533.000;-92.800;-1,4;6.610.100
Tasa de jóvenes (%) s/Tot16y+años;16,93;-0,05;--;16,97;-0,25;--;17,17
Jóvenes Emancipados/as *;1.390.400;-50.200;-3,48;1.440.600;-87.400;-5,91;1.477.800
- Varones emancipados;567.400;-14.100;-2,42;581.500;-30.600;-5,12;598.000
- Mujeres emancipadas;823.000;-36.100;-4,2;859.100;-56.800;-6,46;879.800
Tasa de Emancipación  (%);21,33;-0,72;--;22,05;-1,02;--;22,36
- Tasa de emancipación varones (%);17,2;-0,39;--;17,59;-0,69;--;17,88
- Tasa de emancipación mujeres (%);25,58;-1,04;--;26,62;-1,36;--;26,94
Jóvenes Activos/as;3.632.200;45.700;1,27;3.586.500;-137.800;-3,66;3.770.000
Tasa de Actividad (%);55,73;0,83;--;54,9;-1,3;--;57,03
- Tasa de actividad varones (%);57,62;0,77;--;56,84;-0,84;--;58,46
- Tasa de inactividad mujeres (%);53,8;0,89;--;52,91;-1,77;--;55,57
Jóvenes Inactivos/as;2.885.100;-61.400;-2,08;2.946.500;45.000;1,58;2.840.100
Tasa de Inactividad (%);44,27;-0,83;--;45,1;1,3;--;42,97
- Tasa de inactividad varones (%);42,38;-0,77;--;43,16;0,84;--;41,54
- Tasa de inactividad mujeres (%);46,2;-0,89;--;47,09;1,77;--;44,43
Jóvenes Ocupados/as;2.382.600;75.400;3,27;2.307.200;8.000;0,34;2.374.600
Tasa de Empleo (%);36,56;1,24;--;35,32;0,63;--;35,92
- Tasa de empleo varones (%);37,96;1,13;--;36,84;1,61;--;36,36
- Tasa de empleo mujeres (%);35,11;1,36;--;33,76;-0,37;--;35,48
Jóvenes por cuenta propia;200.000;2.200;1,11;197.800;-29.900;-13,01;229.900
Jóvenes asalariados/as;2.182.100;74.600;3,54;2.107.500;38.100;1,78;2.144.000
- Con contrato indefinido;972.400;2.700;0,28;969.700;-27.200;-2,72;999.600
- Con contrato temporal;1.209.700;71.900;6,32;1.137.800;65.200;5,7;1.144.500
Tasa de temporalidad (%);55,44;1,45;--;53,99;2,06;--;53,38
- Tasa de temporalidad varones (%);55,18;1,74;--;53,43;2,64;--;52,53
- Tasa de temporalidad mujeres (%);55,72;1,13;--;54,59;1,48;--;54,24
Jóvenes Parados/as;1.249.600;-29.700;-2,32;1.279.300;-145.800;-10,45;1.395.400
Jóvenes que buscan primer empleo;384.900;43.900;12,87;341.000;-68.000;-15,01;452.900
Tasa de Paro (%);34,4;-1,27;--;35,67;-2,61;--;37,01
- Tasa de paro varones (%);34,11;-1,08;--;35,19;-3,7;--;37,81
- Tasa de paro mujeres (%);34,73;-1,47;--;36,2;-1,43;--;36,15
Parados/as de 16 y más años;4.574.700;-216.700;-4,52;4.791.400;-574.300;-11,15;5.149.000
Tasa de paro de 16 y más años (%);20;-1;--;21;-2,37;--;22,37
- Tasa paro 16y+años varones (%);18,41;-1,04;--;19,45;-2,55;--;20,96
- Tasa prao 16y+años mujeres (%);21,82;-0,96;--;22,78;-2,19;--;24,01
