JÓVENES DE 16 A 29 AÑOS EN LA EPA;3º trim 2019;Variación sobre 2º trim 2019 (Dif);Variación sobre 2º trim 2019 (%);Variación sobre 2º trim 2019 (Dato);Variación sobre 2º trim 2017 (Dif);Variación sobre 2º trim 2017 (%);Variación sobre 2º trim 2017 (Dato)
Total Población Joven;6.707,10;31,7;0,47;6.675,40;122,8;1,87;6.584,30
Tasa de jóvenes (%) s/Tot16y+años;17,06;0,03;--;17,02;0,14;--;16,92
Jóvenes Emancipados/as *;1.381,00;19,9;1,46;1.361,10;8,3;0,61;1.372,70
- Varones emancipados;582,2;15,7;2,78;566,5;-1,7;-0,29;583,9
- Mujeres emancipadas;798,8;4,1;0,52;794,6;10;1,27;788,8
Tasa de Emancipación  (%);20,59;0,2;--;20,39;-0,26;--;20,85
- Tasa de emancipación varones (%);17,04;0,37;--;16,67;-0,41;--;17,46
- Tasa de emancipación mujeres (%);24,27;0,02;--;24,25;-0,08;--;24,35
Jóvenes Activos/as;3.765,60;147,6;4,08;3.618,00;62,7;1,69;3.702,90
Tasa de Actividad (%);56,14;1,94;--;54,2;-0,09;--;56,24
- Tasa de actividad varones (%);58,58;2,03;--;56,55;-0,2;--;58,78
- Tasa de inactividad mujeres (%);53,62;1,85;--;51,76;0;--;53,61
Jóvenes Inactivos/as;2.941,50;-115,9;-3,79;3.057,40;60,1;2,08;2.881,40
Tasa de Inactividad (%);43,86;-1,94;--;45,8;0,09;--;43,76
- Tasa de inactividad varones (%);41,42;-2,03;--;43,45;0,2;--;41,22
- Tasa de inactividad mujeres (%);46,38;-1,85;--;48,24;0;--;46,39
Jóvenes Ocupados/as;2.845,40;123,5;4,54;2.721,80;77;2,78;2.768,40
Tasa de Empleo (%);42,42;1,65;--;40,77;0,38;--;42,05
- Tasa de empleo varones (%);44,71;2,01;--;42,7;0,73;--;43,98
- Tasa de empleo mujeres (%);40,05;1,27;--;38,78;0,01;--;40,04
Jóvenes por cuenta propia;188,1;1,9;1;186,2;-2,2;-1,16;190,3
Jóvenes asalariados/as;2.655,00;120,7;4,76;2.534,40;78,5;3,05;2.576,60
- Con contrato indefinido;1.147,40;13,6;1,2;1.133,80;39,8;3,59;1.107,60
- Con contrato temporal;1.507,70;107,1;7,65;1.400,60;38,7;2,63;1.469,00
Tasa de temporalidad (%);56,79;1,52;--;55,26;-0,23;--;57,01
- Tasa de temporalidad varones (%);55,64;1,79;--;53,85;-0,06;--;55,7
- Tasa de temporalidad mujeres (%);58,08;1,25;--;56,83;-0,39;--;58,47
Jóvenes Parados/as;920,2;24;2,68;896,2;-14,2;-1,52;934,5
Jóvenes que buscan primer empleo;288,2;21,4;8,01;266,8;-14,1;-4,65;302,3
Tasa de Paro (%);24,44;-0,33;--;24,77;-0,8;--;25,24
- Tasa de paro varones (%);23,67;-0,82;--;24,5;-1,49;--;25,17
- Tasa de paro mujeres (%);25,3;0,22;--;25,08;-0,01;--;25,31
Parados/as de 16 y más años;3.214,40;-16,2;-0,5;3.230,60;-111,6;-3,36;3.326,00
Tasa de paro de 16 y más años (%);13,92;-0,1;--;14,02;-0,63;--;14,55
- Tasa paro 16y+años varones (%);12,17;-0,31;--;12,49;-0,94;--;13,12
- Tasa prao 16y+años mujeres (%);15,92;0,14;--;15,78;-0,3;--;16,22
