JÓVENES DE 16 A 29 AÑOS EN LA EPA;2º trim 2015;Variación sobre 1º trim 2015 (Dif);Variación sobre 1º trim 2015 (%);Variación sobre 1º trim 2015 (Dato);Variación sobre 2º trim 2014 (Dif);Variación sobre 2º trim 2014 (%);Variación sobre 2º trim 2014 (Dato)
Total Población Joven;6.610.100;-28.300;-0,43;6.638.400;-120.800;-1,79;6.730.900
Tasa de jóvenes (%) s/Tot16y+años;17,17;-0,06;--;17,23;-0,3;--;17,47
Jóvenes Emancipados/as *;1.477.800;-48.000;-3,15;1.525.800;-129.400;-8,05;1.607.200
- Varones emancipados;598.000;-20.600;-3,33;618.600;-59.400;-9,04;657.400
- Mujeres emancipadas;879.800;-27.400;-3,02;907.200;-70.000;-7,37;949.800
Tasa de Emancipación  (%);22,36;-0,63;--;22,98;-1,52;--;23,88
- Tasa de emancipación varones (%);17,88;-0,56;--;18,44;-1,43;--;19,31
- Tasa de emancipación mujeres (%);26,94;-0,69;--;27,63;-1,61;--;28,54
Jóvenes Activos/as;3.770.000;300;0,01;3.769.700;-145.000;-3,7;3.915.000
Tasa de Actividad (%);57,03;0,25;--;56,79;-1,13;--;58,16
- Tasa de actividad varones (%);58,46;-0,47;--;58,94;-1,66;--;60,12
- Tasa de inactividad mujeres (%);55,57;0,98;--;54,59;-0,59;--;56,17
Jóvenes Inactivos/as;2.840.100;-28.700;-1;2.868.800;24.200;0,86;2.815.900
Tasa de Inactividad (%);42,97;-0,25;--;43,21;1,13;--;41,84
- Tasa de inactividad varones (%);41,54;0,47;--;41,06;1,66;--;39,88
- Tasa de inactividad mujeres (%);44,43;-0,98;--;45,41;0,59;--;43,83
Jóvenes Ocupados/as;2.374.600;65.200;2,82;2.309.400;300;0,01;2.374.300
Tasa de Empleo (%);35,92;1,13;--;34,79;0,65;--;35,27
- Tasa de empleo varones (%);36,36;0,64;--;35,72;0,32;--;36,04
- Tasa de empleo mujeres (%);35,48;1,64;--;33,84;0,99;--;34,49
Jóvenes por cuenta propia;229.900;6.400;2,86;223.500;9.300;4,22;220.600
Jóvenes asalariados/as;2.144.000;60.100;2,88;2.083.900;-5.800;-0,27;2.149.800
- Con contrato indefinido;999.600;-6.100;-0,61;1.005.700;-42.900;-4,12;1.042.500
- Con contrato temporal;1.144.500;66.300;6,15;1.078.200;37.200;3,36;1.107.300
Tasa de temporalidad (%);53,38;1,64;--;51,74;1,87;--;51,51
- Tasa de temporalidad varones (%);52,53;2,06;--;50,48;0,66;--;51,88
- Tasa de temporalidad mujeres (%);54,24;1,21;--;53,03;3,1;--;51,13
Jóvenes Parados/as;1.395.400;-64.800;-4,44;1.460.200;-145.300;-9,43;1.540.700
Jóvenes que buscan primer empleo;452.900;14.800;3,38;438.100;10.100;2,28;442.800
Tasa de Paro (%);37,01;-1,72;--;38,74;-2,34;--;39,35
- Tasa de paro varones (%);37,81;-1,59;--;39,4;-2,25;--;40,06
- Tasa de paro mujeres (%);36,15;-1,85;--;38,01;-2,43;--;38,58
Parados/as de 16 y más años;5.149.000;-295.600;-5,43;5.444.600;-473.900;-8,43;5.622.900
Tasa de paro de 16 y más años (%);22,37;-1,4;--;23,78;-2,1;--;24,47
- Tasa paro 16y+años varones (%);20,96;-1,78;--;22,74;-2,74;--;23,7
- Tasa prao 16y+años mujeres (%);24,01;-0,98;--;24,98;-1,37;--;25,38
