JÓVENES DE 16 A 29 AÑOS EN LA EPA;3º trim 2022;Variación sobre 2º trim 2022 (Dif);Variación sobre 2º trim 2022  (%);Variación sobre 2º trim 2022   (Dato);Variación sobre 3º trim 2021 (Dif);Variación sobre 3º trim 2021 (%);Variación sobre 3º trim 2021 (Dato)
Total Población Joven;6.953,60;59,6;0,86;6.894,00;127,1;1,86;6.826,50
Tasa de jóvenes (%) s/Tot16y+años;17,4;0,09;--;17,31;0,18;--;17,22
Jóvenes Emancipados/as *;1.198,80;-36,1;-2,92;1.234,90;112,5;10,35;1.086,30
- Varones emancipados;528,2;-16,9;-3,1;545,1;70,6;15,42;457,6
- Mujeres emancipadas;670,6;-19,2;-2,78;689,8;41,9;6,66;628,7
Tasa de Emancipación  (%);17,24;-0,67;--;17,91;1,33;--;15,91
- Tasa de emancipación varones (%);14,87;-0,57;--;15,44;1,74;--;13,12
- Tasa de emancipación mujeres (%);19,72;-0,79;--;20,51;0,89;--;18,83
Jóvenes Activos/as;3.842,60;102,4;2,74;3.740,20;30,5;0,8;3.812,10
Tasa de Actividad (%);55,26;1,01;--;54,25;-0,58;--;55,84
- Tasa de actividad varones (%);57,78;1,82;--;55,97;0,59;--;57,19
- Tasa de inactividad mujeres (%);52,62;0,17;--;52,45;-1,81;--;54,43
Jóvenes Inactivos/as;3.111,10;-42,8;-1,36;3.153,80;96,6;3,21;3.014,40
Tasa de Inactividad (%);44,74;-1,01;--;45,75;0,58;--;44,16
- Tasa de inactividad varones (%);42,22;-1,82;--;44,03;-0,59;--;42,81
- Tasa de inactividad mujeres (%);47,38;-0,17;--;47,55;1,81;--;45,57
Jóvenes Ocupados/as;2.945,30;-26,7;-0,9;2.972,00;103,2;3,63;2.842,10
Tasa de Empleo (%);42,36;-0,75;--;43,11;0,72;--;41,63
- Tasa de empleo varones (%);45,46;0,64;--;44,82;3;--;42,46
- Tasa de empleo mujeres (%);39,12;-2,2;--;41,32;-1,65;--;40,77
Jóvenes por cuenta propia;177,1;-1,3;-0,73;178,4;-8,3;-4,47;185,4
Jóvenes asalariados/as;2.761,60;-29,8;-1,07;2.791,40;109,7;4,14;2.651,90
- Con contrato indefinido;1.518,50;44,1;2,99;1.474,40;405,5;36,43;1.113,00
- Con contrato temporal;1.243,10;-73,9;-5,61;1.317,00;-295,8;-19,22;1.538,90
Tasa de temporalidad (%);45,02;-2,17;--;47,18;-13,01;--;58,03
- Tasa de temporalidad varones (%);42,87;-1,84;--;44,71;-12,1;--;54,97
- Tasa de temporalidad mujeres (%);47,58;-2,35;--;49,93;-13,69;--;61,27
Jóvenes Parados/as;88,3;-15,1;-14,62;103,4;-18,3;-17,15;106,6
Jóvenes que buscan primer empleo;363,3;16,4;4,72;346,9;60,2;19,85;303,1
Tasa de Paro (%);118,9;-12,8;-9,76;131,7;-5,1;-4,1;123,9
- Tasa de paro varones (%);2.374,90;-15,1;-0,63;2.390,00;66,4;2,88;2.308,50
- Tasa de paro mujeres (%);651,7;-138,4;-17,52;790,1;-69,6;-9,65;721,3
Parados/as de 16 y más años;276,4;-26,1;-8,63;302,5;-20,9;-7,02;297,2
Tasa de paro de 16 y más años (%);897,2;129,1;16,8;768,2;-72,8;-7,5;970
- Tasa paro 16y+años varones (%);23,35;2,81;--;20,54;-2,1;--;25,44
- Tasa prao 16y+años mujeres (%);21,34;1,41;--;19,93;-4,43;--;25,77
- Tasa de paro mujeres (%);25,66;4,43;--;21,22;0,57;--;25,09
Jóvenes que buscan 1er empleo;314;61,3;24,25;252,7;23,4;8,05;290,6
Jóvenes buscando empleo 1 o + años;240,4;7,8;3,35;232,6;-84,8;-26,08;325,3
Jóvenes parados/as en Sector Agricultura;31,1;-4,5;-12,74;35,7;-19,5;-38,47;50,6
- En la Industria;39,2;4,601;13,31;34,6;0,4;0,93;38,8
- En la Construcción;19,7;-2,3;-10,63;22,1;-14,1;-41,7;33,8
- En los Servicios;358,1;71,6;25;286,5;16,4;4,8;341,8
