JÓVENES DE 16 A 29 AÑOS EN LA EPA;3º trim 2023;Variación sobre 2º trim 2023 (Dif);Variación sobre 2º trim 2023  (%);Variación sobre 2º trim 2023  (Dato);Variación sobre 3º trim 2022 (Dif);Variación sobre 3º trim 2022(%);Variación sobre 3º trim 2022 (Dato)
Total Población Joven;7.164,00;75,3;1,06;7.088,70;210,3;3,02;6.953,60
Tasa de jóvenes (%) s/Tot16y+años;17,65;0,1;--;17,55;0,25;--;17,4
Jóvenes Emancipados/as *;1.304,70;6,7;0,52;1.298,00;105,9;8,84;1.198,80
- Varones emancipados;564,5;-0,5;-0,08;564,9;36,3;6,87;528,2
- Mujeres emancipadas;740,2;7,2;0,98;733,1;69,6;10,39;670,6
Tasa de Emancipación  (%);18,21;-0,1;--;18,31;0,97;--;17,24
- Tasa de emancipación varones (%);15,42;-0,14;--;15,56;0,55;--;14,87
- Tasa de emancipación mujeres (%);21,13;-0,07;--;21,19;1,41;--;19,72
Jóvenes Activos/as;4.034,90;192,7;5,02;3.842,10;192,3;5,01;3.842,60
Tasa de Actividad (%);56,32;2,12;--;54,2;1,06;--;55,26
- Tasa de actividad varones (%);58,47;2,01;--;56,45;0,68;--;57,78
- Tasa de inactividad mujeres (%);54,08;2,24;--;51,84;1,46;--;52,62
Jóvenes Inactivos/as;3.129,10;-117,5;-3,62;3.246,60;18;0,58;3.111,10
Tasa de Inactividad (%);43,68;-2,12;--;45,8;-1,06;--;44,74
- Tasa de inactividad varones (%);41,53;-2,01;--;43,55;-0,68;--;42,22
- Tasa de inactividad mujeres (%);45,92;-2,24;--;48,16;-1,46;--;47,38
Jóvenes Ocupados/as;3.178,60;108,6;3,54;3.070,00;233,2;7,92;2.945,30
Tasa de Empleo (%);44,37;1,06;--;43,31;2,01;--;42,36
- Tasa de empleo varones (%);46,32;1,44;--;44,89;0,87;--;45,46
- Tasa de empleo mujeres (%);42,33;0,68;--;41,65;3,21;--;39,12
Jóvenes por cuenta propia;191,8;-4;-2,06;195,8;14,7;8,29;177,1
Jóvenes asalariados/as;2.985,90;111,8;3,89;2.874,10;224,3;8,12;2.761,60
- Con contrato indefinido;1.876,70;50,2;2,75;1.826,50;358,2;23,59;1.518,50
- Con contrato temporal;1.109,20;61,6;5,88;1.047,60;-133,9;-10,77;1.243,10
Tasa de temporalidad (%);37,15;0,7;--;36,45;-7,87;--;45,02
- Tasa de temporalidad varones (%);35,35;0,98;--;34,36;-7,52;--;42,87
- Tasa de temporalidad mujeres (%);39,16;0,39;--;38,77;-8,42;--;47,58
Jóvenes Parados/as;74,4;-25;-25,16;99,5;-13,8;-15,68;88,3
Jóvenes que buscan primer empleo;358,1;21,5;6,39;336,5;-5,2;-1,44;363,3
Tasa de Paro (%);121,8;0,1;0,09;121,7;2,9;2,46;118,9
- Tasa de paro varones (%);2.624,30;112;4,46;2.512,30;249,4;10,5;2.374,90
- Tasa de paro mujeres (%);715,1;-65,5;-8,39;780,5;63,3;9,72;651,7
Parados/as de 16 y más años;295,3;-8,1;-2,68;303,4;18,9;6,85;276,4
Tasa de paro de 16 y más años (%);856,3;84,1;10,89;772,2;-40,9;-4,56;897,2
- Tasa paro 16y+años varones (%);21,22;1,12;--;20,1;-2,13;--;23,35
- Tasa prao 16y+años mujeres (%);20,77;0,28;--;20,49;-0,57;--;21,34
- Tasa de paro mujeres (%);21,73;2,08;--;19,65;-3,93;--;25,66
Jóvenes que buscan 1er empleo;265,3;32,7;14,08;232,5;-48,7;-15,51;314
Jóvenes buscando empleo 1 o + años;198,6;14,3;7,77;184,3;-41,8;-17,38;240,4
Jóvenes parados/as en Sector Agricultura;33,4;4,7;16,28;28,7;2,2;7,19;31,1
- En la Industria;43,2;-1,575;-3,52;44,8;4;10,24;39,2
- En la Construcción;11,6;-12,5;-51,81;24;-8,1;-41,26;19,7
- En los Servicios;350,1;39,1;12,57;311;-8,1;-2,25;358,1
