JÓVENES DE 16 A 29 AÑOS EN LA EPA;4º trim 2017;Variación sobre 3º trim 2017 (Dif);Variación sobre 3º trim 2017(%);Variación sobre 3º trim 2017 (Dato);Variación sobre 4º trim 2016 (Dif);Variación sobre 4º trim 2016 (%);Variación sobre 4º trim 2016 (Dato)
Total Población Joven;6.519,20;13,1;0,2;6.506,10;23,2;0,36;6.495,90
Tasa de jóvenes (%) s/Tot16y+años;16,84;0,01;--;16,83;0;--;16,84
Jóvenes Emancipados/as *;1.371,00;8,8;0,64;1.362,20;-3,5;-0,25;1.374,50
- Varones emancipados;577,7;8,5;1,5;569,1;13,9;2,47;563,7
- Mujeres emancipadas;793,4;0,3;0,03;793,1;-17,4;-2,15;810,7
Tasa de Emancipación  (%);21,03;0,09;--;20,94;-0,13;--;21,16
- Tasa de emancipación varones (%);17,46;0,21;--;17,25;0,34;--;17,12
- Tasa de emancipación mujeres (%);24,71;-0,03;--;24,74;-0,6;--;25,31
Jóvenes Activos/as;3.591,60;-136,2;-3,65;3.727,90;38;1,07;3.553,60
Tasa de Actividad (%);55,09;-2,2;--;57,3;0,39;--;54,71
- Tasa de actividad varones (%);56,48;-2,9;--;59,38;0,01;--;56,47
- Tasa de inactividad mujeres (%);53,66;-1,5;--;55,16;0,77;--;52,89
Jóvenes Inactivos/as;2.927,60;149,3;5,37;2.778,20;-14,7;-0,5;2.942,30
Tasa de Inactividad (%);44,91;2,2;--;42,7;-0,39;--;45,29
- Tasa de inactividad varones (%);43,52;2,9;--;40,62;-0,01;--;43,53
- Tasa de inactividad mujeres (%);46,34;1,5;--;44,84;-0,77;--;47,11
Jóvenes Ocupados/as;2.577,20;-94,9;-3,55;2.672,20;148,3;6,1;2.429,00
Tasa de Empleo (%);39,53;-1,54;--;41,07;2,14;--;37,39
- Tasa de empleo varones (%);40,64;-1,89;--;42,54;1,85;--;38,79
- Tasa de empleo mujeres (%);38,39;-1,17;--;39,56;2,43;--;35,96
Jóvenes por cuenta propia;213,7;4;1,92;209,6;13,7;6,83;200
Jóvenes asalariados/as;2.363,20;-98,3;-3,99;2.461,50;135,4;6,08;2.227,80
- Con contrato indefinido;1.016,00;20,7;2,08;995,4;60;6,28;956
- Con contrato temporal;1.347,20;-119;-8,12;1.466,20;75,4;5,93;1.271,80
Tasa de temporalidad (%);57,01;-2,56;--;59,56;-0,08;--;57,09
- Tasa de temporalidad varones (%);56,2;-3,15;--;59,35;-0,35;--;56,55
- Tasa de temporalidad mujeres (%);57,86;-1,93;--;59,79;0,2;--;57,66
Jóvenes Parados/as;1.014,40;-41,3;-3,91;1.055,70;-110,3;-9,8;1.124,70
Jóvenes que buscan primer empleo;330,1;-22,7;-6,42;352,8;-15;-4,35;345,2
Tasa de Paro (%);28,24;-0,08;--;28,32;-3,4;--;31,65
- Tasa de paro varones (%);28,05;-0,32;--;28,36;-3,27;--;31,31
- Tasa de paro mujeres (%);28,46;0,19;--;28,27;-3,56;--;32,02
Parados/as de 16 y más años;3.766,70;34,9;0,94;3.731,70;-471,1;-11,12;4.237,80
Tasa de paro de 16 y más años (%);16,55;0,16;--;16,38;-2,09;--;18,63
- Tasa paro 16y+años varones (%);14,97;0,17;--;14,8;-2,25;--;17,22
- Tasa prao 16y+años mujeres (%);18,35;0,14;--;18,21;-1,9;--;20,25
