JÓVENES DE 16 A 29 AÑOS EN LA EPA;2º trim 2018;Variación sobre 1º trim 2018 (Dif);Variación sobre 1º trim 2018(%);Variación sobre 1º trim 2018 (Dato);Variación sobre 2º trim 2017 (Dif);Variación sobre 2º trim 2017 (%);Variación sobre 2º trim 2017 (Dato)
Total Población Joven;6.563,40;22,8;0,35;6.540,60;66;1,02;6.497,30
Tasa de jóvenes (%) s/Tot16y+años;16,9;0,03;--;16,87;0,08;--;16,82
Jóvenes Emancipados/as *;1.390,30;7,9;0,57;1.382,40;29,2;2,14;1.361,10
- Varones emancipados;589,8;-0,4;-0,06;590,2;20,1;3,52;569,8
- Mujeres emancipadas;800,4;8,3;1,04;792,2;9,1;1,15;791,3
Tasa de Emancipación  (%);21,18;0,05;--;21,14;0,23;--;20,95
- Tasa de emancipación varones (%);17,7;-0,08;--;17,78;0,4;--;17,3
- Tasa de emancipación mujeres (%);24,78;0,18;--;24,6;0,07;--;24,71
Jóvenes Activos/as;3.612,50;92,9;2,64;3.519,60;14,1;0,39;3.598,40
Tasa de Actividad (%);55,04;1,23;--;53,81;-0,34;--;55,38
- Tasa de actividad varones (%);56,83;1,15;--;55,68;-0,09;--;56,92
- Tasa de inactividad mujeres (%);53,2;1,31;--;51,89;-0,61;--;53,81
Jóvenes Inactivos/as;2.950,80;-70,1;-2,32;3.021,00;51,9;1,79;2.898,90
Tasa de Inactividad (%);44,96;-1,23;--;46,19;0,34;--;44,62
- Tasa de inactividad varones (%);43,17;-1,15;--;44,32;0,09;--;43,08
- Tasa de inactividad mujeres (%);46,8;-1,31;--;48,11;0,61;--;46,19
Jóvenes Ocupados/as;2.656,80;124,9;4,93;2.531,90;128;5,06;2.528,80
Tasa de Empleo (%);40,48;1,77;--;38,71;1,56;--;38,92
- Tasa de empleo varones (%);41,78;1,94;--;39,85;1,84;--;39,94
- Tasa de empleo mujeres (%);39,13;1,6;--;37,54;1,26;--;37,87
Jóvenes por cuenta propia;195;-14,2;-6,79;209,2;-12;-5,81;207
Jóvenes asalariados/as;2.459,80;138,6;5,97;2.321,30;139,8;6,03;2.320,00
- Con contrato indefinido;1.075,30;63,8;6,31;1.011,50;91,4;9,29;983,9
- Con contrato temporal;1.384,50;74,8;5,71;1.309,80;48,4;3,62;1.336,10
Tasa de temporalidad (%);56,28;-0,14;--;56,42;-1,3;--;57,59
- Tasa de temporalidad varones (%);54,57;-0,74;--;55,31;-2,26;--;56,83
- Tasa de temporalidad mujeres (%);58,13;0,52;--;57,61;-0,26;--;58,39
Jóvenes Parados/as;955,8;-32;-3,24;987,7;-113,9;-10,65;1.069,60
Jóvenes que buscan primer empleo;285,6;6,4;2,29;279,2;-56,1;-16,41;341,7
Tasa de Paro (%);26,46;-1,61;--;28,06;-3,27;--;29,73
- Tasa de paro varones (%);26,48;-1,96;--;28,43;-3,35;--;29,82
- Tasa de paro mujeres (%);26,44;-1,22;--;27,65;-3,19;--;29,62
Parados/as de 16 y más años;3.490,10;-306;-8,06;3.796,10;-424,2;-10,84;3.914,30
Tasa de paro de 16 y más años (%);15,28;-1,46;--;16,74;-1,94;--;17,22
- Tasa paro 16y+años varones (%);13,72;-1,46;--;15,18;-1,92;--;15,64
- Tasa prao 16y+años mujeres (%);17,08;-1,46;--;18,54;-1,96;--;19,04
