JÓVENES DE 16 A 29 AÑOS EN LA EPA;1º trim 2017;Variación sobre 4º trim 2016 (Dif);Variación sobre 4º trim 2016(%);Variación sobre 4º trim 2016 (Dato);Variación sobre 1º trim 2016 (Dif);Variación sobre 1º trim 2016 (%);Variación sobre 1º trim 2016 (Dato)
Total Población Joven;6.494.700;-1.200;-0,02;6.495.900;-38.300;-0,59;6.533.000
Tasa de jóvenes (%) s/Tot16y+años;16,82;-0,01;--;16,84;-0,15;--;16,97
Jóvenes Emancipados/as *;1.367.000;-7.500;-0,55;1.374.500;-73.600;-5,11;1.440.600
- Varones emancipados;570.000;6.300;1,12;563.700;-11.500;-1,98;581.500
- Mujeres emancipadas;797.000;-13.700;-1,69;810.700;-62.100;-7,23;859.100
Tasa de Emancipación  (%);21,05;-0,11;--;21,16;-1;--;22,05
- Tasa de emancipación varones (%);17,31;0,19;--;17,12;-0,28;--;17,59
- Tasa de emancipación mujeres (%);24,89;-0,42;--;25,31;-1,73;--;26,62
Jóvenes Activos/as;3.523.200;-30.400;-0,86;3.553.600;-63.300;-1,76;3.586.500
Tasa de Actividad (%);54,25;-0,46;--;54,71;-0,65;--;54,9
- Tasa de actividad varones (%);56,06;-0,41;--;56,47;-0,78;--;56,84
- Tasa de inactividad mujeres (%);52,38;-0,51;--;52,89;-0,52;--;52,91
Jóvenes Inactivos/as;2.971.500;29.200;0,99;2.942.300;25.000;0,85;2.946.500
Tasa de Inactividad (%);45,75;0,46;--;45,29;0,65;--;45,1
- Tasa de inactividad varones (%);43,94;0,41;--;43,53;0,78;--;43,16
- Tasa de inactividad mujeres (%);47,62;0,51;--;47,11;0,52;--;47,09
Jóvenes Ocupados/as;2.410.500;-18.500;-0,76;2.429.000;103.300;4,48;2.307.200
Tasa de Empleo (%);37,12;-0,28;--;37,39;1,8;--;35,32
- Tasa de empleo varones (%);38,26;-0,53;--;38,79;1,42;--;36,84
- Tasa de empleo mujeres (%);35,94;-0,01;--;35,96;2,19;--;33,76
Jóvenes por cuenta propia;199.400;-600;-0,3;200.000;1.600;0,81;197.800
Jóvenes asalariados/as;2.210.500;-17.300;-0,78;2.227.800;103.000;4,89;2.107.500
- Con contrato indefinido;983.100;27.100;2,83;956.000;13.400;1,38;969.700
- Con contrato temporal;1.227.400;-44.400;-3,49;1.271.800;89.600;7,87;1.137.800
Tasa de temporalidad (%);55,53;-1,56;--;57,09;1,54;--;53,99
- Tasa de temporalidad varones (%);54,44;-2,11;--;56,55;1;--;53,43
- Tasa de temporalidad mujeres (%);56,67;-1;--;57,66;2,08;--;54,59
Jóvenes Parados/as;1.112.700;-12.000;-1,07;1.124.700;-166.600;-13,02;1.279.300
Jóvenes que buscan primer empleo;331.000;-14.200;-4,11;345.200;-10.000;-2,93;341.000
Tasa de Paro (%);31,58;-0,07;--;31,65;-4,09;--;35,67
- Tasa de paro varones (%);31,76;0,45;--;31,31;-3,43;--;35,19
- Tasa de paro mujeres (%);31,39;-0,63;--;32,02;-4,81;--;36,2
Parados/as de 16 y más años;4.255.000;17.200;0,41;4.237.800;-536.400;-11,2;4.791.400
Tasa de paro de 16 y más años (%);18,75;0,12;--;18,63;-2,25;--;21
- Tasa paro 16y+años varones (%);17,22;0;--;17,22;-2,23;--;19,45
- Tasa prao 16y+años mujeres (%);20,51;0,25;--;20,25;-2,27;--;22,78
