JÓVENES DE 16 A 29 AÑOS EN LA EPA;1º trim 2014;Variación sobre 4º trim 2013 (Dif);Variación sobre 4º trim 2013 (%);Variación sobre 4º trim 2013 (Dato);Variación sobre 1º trim 2013 (Dif);Variación sobre 1º trim 2013 (%);Variación sobre 1º trim 2013 (Dato)
Total Población Joven;6.764.600;-57.600;-0,84;6.822.200;-246.900;-3,52;7.011.500
Tasa de jóvenes (%) s/Tot16y+años;17,58;-0,12;--;17,7;-0,52;--;18,1
Jóvenes Emancipados/as *;1.608.500;3.900;0,24;1.604.600;-98.200;-5,75;1.706.700
- Varones emancipados;649.800;1.800;0,28;648.000;-55.800;-7,91;705.600
- Mujeres emancipadas;958.700;2.100;0,22;956.600;-42.400;-4,24;1.001.100
Tasa de Emancipación  (%);23,78;0,26;--;23,52;-0,56;--;24,34
- Tasa de emancipación varones (%);19,01;0,22;--;18,8;-0,88;--;19,9
- Tasa de emancipación mujeres (%);28,64;0,3;--;28,34;-0,25;--;28,89
Jóvenes Activos/as;3.933.000;-106.700;-2,64;4.039.700;-282.200;-6,69;4.215.200
Tasa de Actividad (%);58,14;-1,07;--;59,21;-1,98;--;60,12
- Tasa de actividad varones (%);59,82;-1,1;--;60,92;-2,14;--;61,97
- Tasa de inactividad mujeres (%);56,42;-1,05;--;57,47;-1,8;--;58,23
Jóvenes Inactivos/as;2.831.600;49.100;1,76;2.782.500;35.300;1,26;2.796.300
Tasa de Inactividad (%);41,86;1,07;--;40,79;1,98;--;39,88
- Tasa de inactividad varones (%);40,18;1,1;--;39,08;2,14;--;38,03
- Tasa de inactividad mujeres (%);43,58;1,05;--;42,53;1,8;--;41,77
Jóvenes Ocupados/as;2.283.600;-75.700;-3,21;2.359.300;-76.400;-3,24;2.360.000
Tasa de Empleo (%);33,76;-0,82;--;34,58;0,1;--;33,66
- Tasa de empleo varones (%);34,22;-0,5;--;34,72;0,54;--;33,67
- Tasa de empleo mujeres (%);33,29;-1,15;--;34,44;-0,35;--;33,64
Jóvenes por cuenta propia;220.600;-4.800;-2,13;225.400;-3.300;-1,47;223.900
Jóvenes asalariados/as;2.061.400;-70.900;-3,33;2.132.300;-73.500;-3,44;2.134.900
- Con contrato indefinido;1.038.100;-25.900;-2,43;1.064.000;-102.900;-9,02;1.141.000
- Con contrato temporal;1.023.200;-45.000;-4,21;1.068.200;29.200;2,94;994.000
Tasa de temporalidad (%);49,64;-0,46;--;50,1;3,08;--;46,56
- Tasa de temporalidad varones (%);49,6;0,26;--;49,35;3,37;--;46,24
- Tasa de temporalidad mujeres (%);49,67;-1,15;--;50,82;2,81;--;46,86
Jóvenes Parados/as;1.649.400;-31.000;-1,84;1.680.400;-205.900;-11,1;1.855.300
Jóvenes que buscan primer empleo;427.400;-45.900;-9,7;473.300;26.600;6,64;400.800
Tasa de Paro (%);41,94;0,34;--;41,6;-2,08;--;44,01
- Tasa de paro varones (%);42,8;-0,2;--;43,01;-2,86;--;45,66
- Tasa de paro mujeres (%);41;0,93;--;40,07;-1,22;--;42,22
Parados/as de 16 y más años;5.933.300;-2.300;-0,04;5.935.600;-344.900;-5,49;6.278.200
Tasa de paro de 16 y más años (%);25,93;0,2;--;25,73;-1,01;--;26,94
- Tasa paro 16y+años varones (%);25,37;0,33;--;25,04;-1,29;--;26,66
- Tasa prao 16y+años mujeres (%);26,57;0,04;--;26,53;-0,69;--;27,26
