JÓVENES DE 16 A 29 AÑOS EN LA EPA;3º trim 2015;Variación sobre 2º trim 2015 (Dif);Variación sobre 2º trim 2015 (%);Variación sobre 2º trim 2015 (Dato);Variación sobre 3º trim 2014 (Dif);Variación sobre 3º trim 2014 (%);Variación sobre 3º trim 2014 (Dato)
Total Población Joven;6.583.800;-26.300;-0,4;6.610.100;-108.200;-1,62;6.692.000
Tasa de jóvenes (%) s/Tot16y+años;17,11;-0,06;--;17,17;-0,26;--;17,37
Jóvenes Emancipados/as *;1.449.600;-28.200;-1,91;1.477.800;-113.400;-7,26;1.563.000
- Varones emancipados;584.400;-13.600;-2,27;598.000;-64.000;-9,87;648.400
- Mujeres emancipadas;865.200;-14.600;-1,66;879.800;-49.500;-5,41;914.700
Tasa de Emancipación  (%);22,02;-0,34;--;22,36;-1,34;--;23,36
- Tasa de emancipación varones (%);17,54;-0,34;--;17,88;-1,62;--;19,16
- Tasa de emancipación mujeres (%);26,6;-0,34;--;26,94;-1,05;--;27,65
Jóvenes Activos/as;3.841.500;71.500;1,9;3.770.000;-129.100;-3,25;3.970.600
Tasa de Actividad (%);58,35;1,31;--;57,03;-0,99;--;59,33
- Tasa de actividad varones (%);60,28;1,82;--;58,46;-1,2;--;61,48
- Tasa de inactividad mujeres (%);56,37;0,79;--;55,57;-0,77;--;57,13
Jóvenes Inactivos/as;2.742.300;-97.800;-3,44;2.840.100;20.900;0,77;2.721.400
Tasa de Inactividad (%);41,65;-1,31;--;42,97;0,99;--;40,67
- Tasa de inactividad varones (%);39,72;-1,82;--;41,54;1,2;--;38,52
- Tasa de inactividad mujeres (%);43,63;-0,79;--;44,43;0,77;--;42,87
Jóvenes Ocupados/as;2.463.600;89.000;3,75;2.374.600;26.000;1,07;2.437.600
Tasa de Empleo (%);37,42;1,49;--;35,92;0,99;--;36,42
- Tasa de empleo varones (%);38,58;2,22;--;36,36;0,9;--;37,68
- Tasa de empleo mujeres (%);36,23;0,75;--;35,48;1,09;--;35,14
Jóvenes por cuenta propia;215.900;-14.000;-6,09;229.900;-16.200;-6,98;232.100
Jóvenes asalariados/as;2.246.700;102.700;4,79;2.144.000;43.800;1,99;2.202.900
- Con contrato indefinido;973.600;-26.000;-2,6;999.600;-40.700;-4,01;1.014.300
- Con contrato temporal;1.273.100;128.600;11,24;1.144.500;84.400;7,1;1.188.700
Tasa de temporalidad (%);56,67;3,29;--;53,38;2,71;--;53,96
- Tasa de temporalidad varones (%);56,66;4,12;--;52,53;2,56;--;54,1
- Tasa de temporalidad mujeres (%);56,68;2,44;--;54,24;2,87;--;53,81
Jóvenes Parados/as;1.378.000;-17.400;-1,25;1.395.400;-155.000;-10,11;1.533.000
Jóvenes que buscan primer empleo;472.700;19.800;4,37;452.900;-10.000;-2,07;482.700
Tasa de Paro (%);35,87;-1,14;--;37,01;-2,74;--;38,61
- Tasa de paro varones (%);36,01;-1,8;--;37,81;-2,71;--;38,72
- Tasa de paro mujeres (%);35,72;-0,43;--;36,15;-2,77;--;38,49
Parados/as de 16 y más años;4.850.800;-298.200;-5,79;5.149.000;-576.900;-10,63;5.427.700
Tasa de paro de 16 y más años (%);21,18;-1,19;--;22,37;-2,49;--;23,67
- Tasa paro 16y+años varones (%);19,9;-1,06;--;20,96;-2,63;--;22,53
- Tasa prao 16y+años mujeres (%);22,69;-1,32;--;24,01;-2,33;--;25,01
