JÓVENES DE 16 A 29 AÑOS EN LA EPA;2º trim 2022;Variación sobre 1º trim 2022 (Dif);Variación sobre 1º trim 2022  (%);Variación sobre 1º trim 2022   (Dato);Variación sobre 2º trim 2021 (Dif);Variación sobre 2º trim 2021 (%);Variación sobre 2º trim 2021 (Dato)
Total Población Joven;6.894,00;33;0,48;6.861,00;69,7;1,02;6.824,40
Tasa de jóvenes (%) s/Tot16y+años;17,31;0,05;--;17,26;0,09;--;17,22
Jóvenes Emancipados/as *;1.234,90;58,7;4,99;1.176,20;91,9;8,04;1.143,00
- Varones emancipados;545,1;35,6;7;509,5;57,4;11,77;487,7
- Mujeres emancipadas;689,8;23;3,45;666,7;34,5;5,26;655,3
Tasa de Emancipación  (%);17,91;0,77;--;17,14;1,16;--;16,75
- Tasa de emancipación varones (%);15,44;0,89;--;14,55;1,43;--;14,01
- Tasa de emancipación mujeres (%);20,51;0,66;--;19,85;0,9;--;19,61
Jóvenes Activos/as;3.740,20;123,7;3,42;3.616,50;62;1,68;3.678,20
Tasa de Actividad (%);54,25;1,54;--;52,71;0,35;--;53,9
- Tasa de actividad varones (%);55,97;1,59;--;54,38;0,78;--;55,18
- Tasa de inactividad mujeres (%);52,45;1,48;--;50,97;-0,11;--;52,56
Jóvenes Inactivos/as;3.153,80;-90,7;-2,8;3.244,60;7,7;0,24;3.146,10
Tasa de Inactividad (%);45,75;-1,54;--;47,29;-0,35;--;46,1
- Tasa de inactividad varones (%);44,03;-1,59;--;45,62;-0,78;--;44,82
- Tasa de inactividad mujeres (%);47,55;-1,48;--;49,03;0,11;--;47,44
Jóvenes Ocupados/as;2.972,00;199;7,17;2.773,10;353,8;13,51;2.618,20
Tasa de Empleo (%);43,11;2,69;--;40,42;4,74;--;38,37
- Tasa de empleo varones (%);44,82;3,32;--;41,5;5,19;--;39,62
- Tasa de empleo mujeres (%);41,32;2,03;--;39,29;4,26;--;37,05
Jóvenes por cuenta propia;178,4;5,6;3,23;172,9;-13,4;-7,01;191,9
Jóvenes asalariados/as;2.791,40;195,2;7,52;2.596,10;367,4;15,16;2.423,90
- Con contrato indefinido;1.474,40;221,9;17,72;1.252,50;377,2;34,38;1.097,10
- Con contrato temporal;1.317,00;-26,6;-1,98;1.343,70;-9,8;-0,74;1.326,80
Tasa de temporalidad (%);47,18;-4,57;--;51,76;-7,56;--;54,74
- Tasa de temporalidad varones (%);44,71;-4,06;--;48,76;-6,37;--;51,08
- Tasa de temporalidad mujeres (%);49,93;-5,05;--;54,98;-8,78;--;58,71
Jóvenes Parados/as;103,4;1,1;1,04;102,3;-11,8;-10,22;115,2
Jóvenes que buscan primer empleo;346,9;34,9;11,2;312;46,4;15,45;300,5
Tasa de Paro (%);131,7;9,4;7,73;122,3;13,5;11,46;118,2
- Tasa de paro varones (%);2.390,00;153,5;6,86;2.236,50;305,6;14,66;2.084,40
- Tasa de paro mujeres (%);790,1;47,7;6,43;742,4;62,5;8,59;727,6
Parados/as de 16 y más años;302,5;6,3;2,14;296,1;40,1;15,28;262,4
Tasa de paro de 16 y más años (%);768,2;-75,3;-8,92;843,4;-291,9;-27,53;1.060,00
- Tasa paro 16y+años varones (%);20,54;-2,78;--;23,32;-8,28;--;28,82
- Tasa prao 16y+años mujeres (%);19,93;-3,76;--;23,69;-8,27;--;28,2
- Tasa de paro mujeres (%);21,22;-1,69;--;22,91;-8,28;--;29,5
Jóvenes que buscan 1er empleo;252,7;-3,2;-1,24;255,9;-56,1;-18,18;308,8
Jóvenes buscando empleo 1 o + años;232,6;-56,2;-19,45;288,8;-138,5;-37,31;371,1
Jóvenes parados/as en Sector Agricultura;35,7;2,2;6,46;33,5;-6,8;-15,97;42,5
- En la Industria;34,6;-11,302;-24,63;45,9;-19,6;-36,16;54,2
- En la Construcción;22,1;2,8;14,25;19,3;-4,9;-18,18;27
- En los Servicios;286,5;-44,9;-13,54;331,4;-32,7;-10,25;319,3
