JÓVENES DE 16 A 29 AÑOS EN LA EPA;4º trim 2016;Variación sobre 3º trim 2016 (Dif);Variación sobre 3º trim 2016(%);Variación sobre 3º trim 2016 (Dato);Variación sobre 4º trim 2015 (Dif);Variación sobre 4º trim 2015 (%);Variación sobre 4º trim 2015 (Dato)
Total Población Joven;6.495.900;-7.200;-0,11;6.503.100;-56.600;-0,86;6.552.500
Tasa de jóvenes (%) s/Tot16y+años;16,84;-0,04;--;16,87;-0,19;--;17,02
Jóvenes Emancipados/as *;1.374.500;-27.900;-1,99;1.402.400;-73.600;-5,08;1.448.100
- Varones emancipados;563.700;-13.800;-2,39;577.500;-28.900;-4,88;592.600
- Mujeres emancipadas;810.700;-14.200;-1,72;824.900;-44.900;-5,25;855.600
Tasa de Emancipación  (%);21,16;-0,41;--;21,57;-0,94;--;22,1
- Tasa de emancipación varones (%);17,12;-0,41;--;17,53;-0,75;--;17,87
- Tasa de emancipación mujeres (%);25,31;-0,4;--;25,71;-1,12;--;26,43
Jóvenes Activos/as;3.553.600;-141.600;-3,83;3.695.200;-106.800;-2,92;3.660.400
Tasa de Actividad (%);54,71;-2,12;--;56,82;-1,16;--;55,86
- Tasa de actividad varones (%);56,47;-1,99;--;58,46;-1,27;--;57,74
- Tasa de inactividad mujeres (%);52,89;-2,25;--;55,14;-1,05;--;53,94
Jóvenes Inactivos/as;2.942.300;134.400;4,79;2.807.900;50.200;1,74;2.892.100
Tasa de Inactividad (%);45,29;2,12;--;43,18;1,16;--;44,14
- Tasa de inactividad varones (%);43,53;1,99;--;41,54;1,27;--;42,26
- Tasa de inactividad mujeres (%);47,11;2,25;--;44,86;1,05;--;46,06
Jóvenes Ocupados/as;2.429.000;-103.800;-4,1;2.532.800;55.300;2,33;2.373.700
Tasa de Empleo (%);37,39;-1,56;--;38,95;1,17;--;36,23
- Tasa de empleo varones (%);38,79;-1,65;--;40,44;1,71;--;37,08
- Tasa de empleo mujeres (%);35,96;-1,46;--;37,42;0,6;--;35,35
Jóvenes por cuenta propia;200.000;-3.400;-1,67;203.400;-13.600;-6,37;213.600
Jóvenes asalariados/as;2.227.800;-101.300;-4,35;2.329.100;69.400;3,22;2.158.400
- Con contrato indefinido;956.000;3.100;0,33;952.900;-13.500;-1,39;969.500
- Con contrato temporal;1.271.800;-104.400;-7,59;1.376.200;82.900;6,97;1.188.900
Tasa de temporalidad (%);57,09;-2;--;59,09;2;--;55,08
- Tasa de temporalidad varones (%);56,55;-3,27;--;59,81;1,16;--;55,39
- Tasa de temporalidad mujeres (%);57,66;-0,64;--;58,31;2,89;--;54,77
Jóvenes Parados/as;1.124.700;-37.700;-3,24;1.162.400;-162.000;-12,59;1.286.700
Jóvenes que buscan primer empleo;345.200;-48.600;-12,34;393.800;-38.900;-10,13;384.100
Tasa de Paro (%);31,65;0,19;--;31,46;-3,5;--;35,15
- Tasa de paro varones (%);31,31;0,48;--;30,83;-4,47;--;35,78
- Tasa de paro mujeres (%);32,02;-0,12;--;32,14;-2,44;--;34,46
Parados/as de 16 y más años;4.237.800;-83.000;-1,92;4.320.800;-541.700;-11,33;4.779.500
Tasa de paro de 16 y más años (%);18,63;-0,28;--;18,91;-2,26;--;20,9
- Tasa paro 16y+años varones (%);17,22;-0,17;--;17,39;-2,27;--;19,49
- Tasa prao 16y+años mujeres (%);20,25;-0,41;--;20,66;-2,26;--;22,52
